TAG	TEXT	COMMENT
TUTORIAL_ARCANE_INTELLECT_DESCRIPTION	手札は10枚まで持てるぞ。	
TUTORIAL_ARCANE_INTELLECT_HEADLINE	手札の枚数	
TUTORIAL_MOBILE_COMPLETE_CONGRATS	イリダンを倒した！無料アカウントを作成し、オンラインで新しい相手に挑戦しよう！	
TUTORIAL_MOBILE_CREATE_ACCOUNT	アカウントの作成	
TUTORIAL_NO_ENDTURN	ちょっと待った！使えるカードが残ってるぞ！	
TUTORIAL_NO_ENDTURN_ATK	ちょっと待った！まだ攻撃できるぞ。	
TUTORIAL_NO_ENDTURN_HP	ちょっと待った！ヒーローパワーを使うんだ。	
TUTORIAL_PROGRESS_LESSON_TITLE	旅の始まり	
TUTORIAL_PROGRESS_SAVED	進行度を保存したぞ	
TUTORIAL_PROGRESS_TITLE	ミッション進行度	
TUTORIAL_RAID_LEADER_DESCRIPTION	このミニオンは、死ぬまで有効な能力を持っているぞ。	
TUTORIAL_RAID_LEADER_HEADLINE	能力	
TUTORIAL_TOOLTIP_DECK_DESCRIPTION	あんたは毎ターン、デッキからランダムなカードを1枚引けるんだ。	
TUTORIAL_TOOLTIP_ENEMYDECK_DESC	相手は毎ターン、カードを1枚引く。	
TUTORIAL_TOOLTIP_HISTORY_DESC	これはゲームのイベントログだ。	
TUTORIAL_TOOLTIP_HISTORY_HEADLINE	履歴	
TUTORIAL_WANTED	WANTED	
TUTORIAL01_HELP_01	あんたの体力がなくなると、あんたの負けだ。	
TUTORIAL01_HELP_02	このミニオンは前のターンに出したものだ。	
TUTORIAL01_HELP_03	このノールを\n攻撃だ！	
TUTORIAL01_HELP_04	ミニオンは場に出てから1ターン待たないと攻撃できないぞ。	
TUTORIAL01_HELP_05	ホガーを攻撃だ！	
TUTORIAL01_HELP_06	ホガーにありったけぶつけてやれ！	
TUTORIAL01_HELP_07	そいつは敵にぶつけるんだ！	
TUTORIAL01_HELP_08	雑魚ノールは放っといて、ホガーに止めを刺すんだ！	
TUTORIAL01_HELP_09	ホガーの体力がなくなったら、あんたの勝ち。	
TUTORIAL01_HELP_10	あんたのミニオンで攻撃だ！	
TUTORIAL01_HELP_11	クリックして攻撃だ。	
TUTORIAL01_HELP_12	キャラクターが与えるダメージ。	
TUTORIAL01_HELP_13	キャラクターが受けられるダメージ。	
TUTORIAL01_HELP_14	ホガーを倒せ！	
TUTORIAL01_HELP_15	カードでミニオンを召喚し、\nホガーを攻撃するんだ。\n\n十分なダメージを与えれば、あんたの勝ち！	
TUTORIAL01_HELP_16	対戦開始！	
TUTORIAL01_HELP_17	ヤツをクリックだ！	
TUTORIAL01_HELP_17_TOUCH	ヤツをタップするんだ！	
TUTORIAL01_HELP_18	無料カード！	
TUTORIAL02_HELP_01	毎ターン、マナクリスタルを1つ得る。	
TUTORIAL02_HELP_02	カードを使うにはマナを消費する。	
TUTORIAL02_HELP_03	使ったマナクリスタルは毎ターン補充されるぞ。	
TUTORIAL02_HELP_04	あんたは{0}マナ持ってるぞ。	
TUTORIAL02_HELP_06	ミルハウスを倒せ！	
TUTORIAL02_HELP_07	マナを毎ターン消費して、この鬱陶しいノームをやっつけろ！	
TUTORIAL02_STARTING_HAND	最初の手札	
TUTORIAL03_HELP_01	このゴリラは「挑発」を持ってるぞ。	
TUTORIAL03_HELP_02	王様バンザイ	
TUTORIAL03_HELP_03	カードの効果がわからない？カーソルを乗せてみな！	
TUTORIAL03_HELP_03_TOUCH	カードの効果がわからない？カードに触って、押しっぱなしにしてみな！	
TUTORIAL04_HELP_01	ヒーローパワーは、各ターンに1回使えるぞ。	
TUTORIAL04_HELP_02	ヒツジをお見舞いしてやれ！	
TUTORIAL04_HELP_03	そいつはフェン・クリーパー用に取っとくんだ！	
TUTORIAL04_HELP_14	ジャングルへようこそ	
TUTORIAL04_HELP_15	敵のミニオンを倒さないと、やられるぞ！	
TUTORIAL04_HELP_16	ヒーローパワーと呪文でミニオンを屈服させろ！	
TUTORIAL05_HELP_01	攻撃する度に、武器の耐久度が減るぞ。	
TUTORIAL05_HELP_02	裏切り者	
TUTORIAL05_HELP_03	はっきり言って、この戦いは不公平だ。文句はゲームデザイナーに言って欲しい。	
TUTORIAL05_HELP_04	「挑発」を持つミニオンは敵の攻撃を引き受けてくれるぞ！	
TUTORIAL05_WEAPON_DESC	武器の耐久度がなくなるまで、ヒーローに攻撃させるんだ。	
TUTORIAL05_WEAPON_HEADLINE	武器	
TUTORIAL06_HELP_01	探話士チョー	
TUTORIAL06_HELP_02	ミニオン同士が戦うと、\nどちらもダメージを受ける。	
TUTORIAL06_HELP_03	「雄叫び」を持つミニオンは、カードを使った時に特殊な効果を発揮するぞ。	
TUTORIAL06_HELP_04	厄介なことになる前に敵のミニオンを倒すんだ！	
TUTR_HELPER_Fight_01_AttackHero	あんたのミニオンでレクサーを攻撃だ！	
TUTR_HELPER_Fight_01_AttackHuffer	敵のミニオンを攻撃しよう！	
TUTR_HELPER_Fight_01_HeroPower	あのミニオンにヒーローパワーを使おう！	
TUTR_HELPER_Fight_01_HistoryTiles	履歴タイルでこれまでの行動を確認できる。	
TUTR_HELPER_Fight_01_Mana	マナは毎ターン増えていくぞ。カードを使うにはマナを消費する。	
TUTR_HELPER_Fight_01_Mana_02	マナクリスタルは毎ターン充填される。	
TUTR_HELPER_Fight_01_MinionsDestroyed	攻撃時ミニオン同士はダメージを与え合う。	
TUTR_HELPER_Fight_01_PlayCard	このミニオンをゲーム盤にドラックして、手札から使おう！	
TUTR_HELPER_Fight_01_PlayHuffer	左にある攻撃力は、ミニオンが敵に与えるダメージを表すぞ。	
TUTR_HELPER_Fight_01_PlayHuffer_02	右にある体力は、ミニオンが死ぬまでに耐えれるダメージを表すぞ。	
TUTR_HELPER_Fight_01_PlayMinion	カードにカーソルを合わせると能力を確認できる。	
TUTR_HELPER_Fight_01_PlayMinion_Mobile	カードをタップ＆長押しで能力を確認できる。	
TUTR_HELPER_Fight_01_PlaySpell	この呪文を敵のミニオンにドラッグして破壊しよう！	
TUTR_HELPER_Fight_01_PlayTaunt	ミニオンは「挑発」を持った敵を先に破壊する必要がある。	
TUTR_HELPER_Fight_01_PlayWeapon	ヒーローが攻撃する度に、武器の耐久度が減るぞ。	
TUTR_HELPER_Fight_01_SpellIgnoresTaunt	呪文は挑発を無視できる。	
TUTR_HELPER_Fight_01_WinCondition	勝つためには、対戦相手の体力を0にする必要がある。	
VO_DALA_BOSS_99h_Male_Human_AfterFreezing_01	こいつらにはちょっと時間を潰しててもらおうか。	
VO_DALA_BOSS_99h_Male_Human_AfterSelling_01	ミニオンが減り、ゴールドが増えた。	
VO_DALA_BOSS_99h_Male_Human_AfterShopUpgrade_01	いいねぇ！もっといいミニオンを呼ぼうか。	
VO_DALA_BOSS_99h_Male_Human_AfterShopUpgrade_02	対戦のレベルを上げてこうか！	
VO_DALA_BOSS_99h_Male_Human_AfterShopUpgrade_03	もっと強いミニオンを呼べるようになったよ。	
VO_DALA_BOSS_99h_Male_Human_AfterShopUpgrade_04	[x]ここからが\n本番だな！	
VO_DALA_BOSS_99h_Male_Human_AfterTriple_01	[x]おっほー！あんた、\nのし上がってくねぇ！	
VO_DALA_BOSS_99h_Male_Human_AfterTriple_02	まさにあんたの狙い通りだな。	
VO_DALA_BOSS_99h_Male_Human_AfterTriple_03	見事な一手だ。これでどうなるか、楽しみだね。	
VO_DALA_BOSS_99h_Male_Human_CombatWin_03	[x]調子いいねぇ！\n押せ押せで行こう。	
