TAG	TEXT	COMMENT
GAMEPLAY_EMOTE_EX1_323h_CONCEDE	お前の勝ちだ…だがやはりこの世界は滅亡するのだ！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_FULL_MINIONS	ミニオンが多過ぎだ！！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_GENERIC	できん！！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_HAND_FULL	カードが多過ぎだ！！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_I_ATTACKED	我は既に攻撃しておるわ！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_JUST_PLAYED	アレはまだ動けぬわ！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_MINION_ATTACKED	アレは既に攻撃しておるわ！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_MANA	マナが足りん！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_WEAPON	我の武器はどこに行った？！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_PLAY	今そのカードは使えんのだ！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_STEALTH	そやつは隠れ身しておる！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TARGET	そいつには使えん！！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TAUNT	挑発しているミニオンがおるだろうが！	
GAMEPLAY_EMOTE_EX1_323h_FIRE_FESTIVAL	どんどん火をつけろ！	
GAMEPLAY_EMOTE_EX1_323h_GOOD_GAME	よい勝負であった！	
GAMEPLAY_EMOTE_EX1_323h_GREETINGS	我こそジャラクサス、焦熱の軍団のエレダーロードなり！	
GAMEPLAY_EMOTE_EX1_323h_HALLOWS_END	ハロウェンド…お前もジ・エンドだ！	
GAMEPLAY_EMOTE_EX1_323h_LOW_CARDS	我がデッキ！カードが尽きかけているだと？！	
GAMEPLAY_EMOTE_EX1_323h_LUNAR_NEW_YEAR	最後の新年おめでとう！	
GAMEPLAY_EMOTE_EX1_323h_NO_CARDS	ぬぅぅっ！カードが尽きてしまったか！	
GAMEPLAY_EMOTE_EX1_323h_NOBLEGARDEN	ハッピー・ノーブルガーデン！	
GAMEPLAY_EMOTE_EX1_323h_OOPS	しくじったか！！	
GAMEPLAY_EMOTE_EX1_323h_PIRATE_DAY	我こそジャアァァァァラクサス！	
GAMEPLAY_EMOTE_EX1_323h_SORRY	このジャラクサス…すまん	
GAMEPLAY_EMOTE_EX1_323h_THANKS	礼を言うぞ。	
GAMEPLAY_EMOTE_EX1_323h_THINK1	うぬぬぬ…	
GAMEPLAY_EMOTE_EX1_323h_THINK2	どうするか…	
GAMEPLAY_EMOTE_EX1_323h_THINK3	どうやって滅ぼしてやろうか…	
GAMEPLAY_EMOTE_EX1_323h_THREATEN	滅びよ！！	
GAMEPLAY_EMOTE_EX1_323h_TIMER	時が尽きる！	
GAMEPLAY_EMOTE_EX1_323h_WELL_PLAYED	ふん、見事だ！	
GAMEPLAY_EMOTE_EX1_323h_WINTERVEIL_GREETINGS	冬至祭のメインディッシュはお前の魂だ！	
GAMEPLAY_EMOTE_EX1_323h_WOW_04	信じられん！	
GAMEPLAY_EMOTE_HERO_01_CONCEDE	オレは死を選ぶぞ！	
GAMEPLAY_EMOTE_HERO_01_ERROR_FULL_MINIONS	ミニオンが多過ぎる。	
GAMEPLAY_EMOTE_HERO_01_ERROR_GENERIC	それはできんぞ。	
GAMEPLAY_EMOTE_HERO_01_ERROR_HAND_FULL	手札が多過ぎる！	
GAMEPLAY_EMOTE_HERO_01_ERROR_I_ATTACKED	オレは攻撃した。	
GAMEPLAY_EMOTE_HERO_01_ERROR_JUST_PLAYED	そのミニオンが動けるのは次のターンからだ。	
GAMEPLAY_EMOTE_HERO_01_ERROR_MINION_ATTACKED	そのミニオンは攻撃済みだ。	
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_MANA	マナが足りん。	
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_WEAPON	武器が要る。	
GAMEPLAY_EMOTE_HERO_01_ERROR_PLAY	今そのカードは使えん。	
GAMEPLAY_EMOTE_HERO_01_ERROR_STEALTH	隠れ身しているミニオンは攻撃できん。	
GAMEPLAY_EMOTE_HERO_01_ERROR_TARGET	それは対象にできん。	
GAMEPLAY_EMOTE_HERO_01_ERROR_TAUNT	「挑発」を持つミニオンが邪魔だ。	
GAMEPLAY_EMOTE_HERO_01_EVENT_FIRE_FESTIVAL	燃やし尽くせ！！	
GAMEPLAY_EMOTE_HERO_01_EVENT_LUNAR_NEW_YEAR	明けましておめでとう！	
GAMEPLAY_EMOTE_HERO_01_GOOD_GAME	いい勝負だった！	
GAMEPLAY_EMOTE_HERO_01_GREETINGS	ハッ、武運を！	
GAMEPLAY_EMOTE_HERO_01_GREETINGS_RESPONSE	ヘッヘッヘ。武運を！	
GAMEPLAY_EMOTE_HERO_01_HALLOWS_END	ハロウェンドを祝うぞ！	
GAMEPLAY_EMOTE_HERO_01_LOW_CARDS	カードが尽きる！	
GAMEPLAY_EMOTE_HERO_01_MIRROR_START	ガァッハッハッ！かかってこいィッ！	
GAMEPLAY_EMOTE_HERO_01_NO_CARDS	カードが尽きたぞ！	
GAMEPLAY_EMOTE_HERO_01_NOBLEGARDEN	ノーブルガーデンを祝うぞ！	
GAMEPLAY_EMOTE_HERO_01_OOPS	しくじったな。	
GAMEPLAY_EMOTE_HERO_01_PIRATE_DAY	ヤァァイボ、ヨーホ！	
GAMEPLAY_EMOTE_HERO_01_SORRY	悪く思うな。	
