TAG	TEXT	COMMENT	AUDIOFILE
# HERO_01 is Garrosh Hellscream (Warrior)
GAMEPLAY_EMOTE_HERO_01_CONCEDE	I choose death!		VO_HERO_01_Concede_07.wav
GAMEPLAY_EMOTE_HERO_01_GOOD_GAME	Good Game.		VO_HERO_01_GG_15.wav
GAMEPLAY_EMOTE_HERO_01_GREETINGS	Heh, Greetings.		VO_HERO_01_Greetings_01.wav
GAMEPLAY_EMOTE_HERO_01_LOW_CARDS	I'm almost out of cards!		VO_HERO_01_LowCards_18.wav
GAMEPLAY_EMOTE_HERO_01_NO_CARDS	I'm out of cards!		VO_HERO_01_NoCards_19.wav
GAMEPLAY_EMOTE_HERO_01_OOPS	That was an error.		VO_HERO_01_Oops_03.wav
GAMEPLAY_EMOTE_HERO_01_SORRY	Sorry that happened.		VO_HERO_01_Sorry_06.wav
GAMEPLAY_EMOTE_HERO_01_START	Victory or Death!		VO_HERO_01_Start_09.wav
GAMEPLAY_EMOTE_HERO_01_MIRROR_START	Hahaha! Bring it on!		VO_HERO_01_MIRROR_START_02
GAMEPLAY_EMOTE_HERO_01_THANKS	My thanks.		VO_HERO_01_Thanks_05.wav
GAMEPLAY_EMOTE_HERO_01_THINK1	Hmmm...		VO_HERO_01_Thinking1_12.wav
GAMEPLAY_EMOTE_HERO_01_THINK2	Hmmm... I wonder...		VO_HERO_01_Thinking2_13.wav
GAMEPLAY_EMOTE_HERO_01_THINK3	What now....		VO_HERO_01_Thinking3_14.wav
GAMEPLAY_EMOTE_HERO_01_THREATEN	I will crush you!		VO_HERO_01_Threaten_04.wav
GAMEPLAY_EMOTE_HERO_01_TIMER	I must choose!		VO_HERO_01_Time_11.wav
GAMEPLAY_EMOTE_HERO_01_WELL_PLAYED	Well played.		VO_HERO_01_Well Played_02.wav
GAMEPLAY_EMOTE_HERO_01_WOW	Astonishing!		VO_HERO_01_WOW_11.wav
GAMEPLAY_EMOTE_HERO_01_ERROR_FULL_MINIONS	I have too many minions.		VO_HERO_01_ERROR07_26.wav
GAMEPLAY_EMOTE_HERO_01_ERROR_GENERIC	I cannot do that.		VO_HERO_01_ERROR12_31.wav
GAMEPLAY_EMOTE_HERO_01_ERROR_HAND_FULL	My hand is full!		VO_HERO_01_ERROR06_25.wav
GAMEPLAY_EMOTE_HERO_01_ERROR_I_ATTACKED	I already attacked.		VO_HERO_01_ERROR04_23.wav
GAMEPLAY_EMOTE_HERO_01_ERROR_JUST_PLAYED	Give that minion a turn to get ready.		VO_HERO_01_ERROR05_24.wav
GAMEPLAY_EMOTE_HERO_01_ERROR_MINION_ATTACKED	That minion already attacked.		VO_HERO_01_ERROR03_22.wav
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_MANA	I don't have enough Mana.		VO_HERO_01_ERROR02_21.wav
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_WEAPON	I need a weapon.		VO_HERO_01_ERROR01_20.wav
GAMEPLAY_EMOTE_HERO_01_ERROR_PLAY	I can't play that.		VO_HERO_01_ERROR08_27.wav
GAMEPLAY_EMOTE_HERO_01_ERROR_STEALTH	I can't target Stealthed minions.		VO_HERO_01_ERROR09_28.wav
