TAG	TEXT	COMMENT
BOTA_PUZZLE_LOADING	Loading the next puzzle...
BOTA_PUZZLE_RESETTING	Resetting the puzzle...
BOTA_PUZZLE_PROGRESS	Puzzle {0}/{1}
BOTA_PUZZLE_CONGRATULATIONS	Great Job!
BOTA_PUZZLE_END_TURN_REMINDER	Retry if you're stuck.
MISSION_PRE_TUTORIAL_WANTED	Wanted	
MISSION_NEFARIAN_TITLE	Slayer of Stupid, Incompetent, and Disappointing Minions
MISSION_DEFAULTCOUNTERNAME	|4(Turn,Turns) to Escape
MISSION_GLOWING_POOL	A Glowing Pool	
MISSION_PIT_OF_SPIKES	A Pit of Spikes	
MISSION_STATUES_EYE	The Statue's Eye	
MISSION_TAKE_THE_SHORTCUT	Take the Shortcut?	
TB_DECKBUILDING_FIRSTPICKTHREE	Pick a new card for your hand.
TB_DECKBUILDING_FIRSTCARDPLAYED	After you play a card, shuffle a copy into your deck.
TB_DECKBUILDING_FIRSTENDTURN	Now return your hand to your deck and redraw.
TB_DECKBUILDING_STARTOFGAME	Build your team as you play! Good luck!
TB_DECKBUILDING_STARTOFGAME_START	Start!
TB_GIFTEXCHANGE_GIFTSPAWNED	If your side has no crate, then one's delivered.
TB_GIFTEXCHANGE_GIFTSTOLEN	You got a gift! What could it be...
TB_GIFTEXCHANGE_START	Happy Winter's Veil! Grab those gifts!
TB_PICKYOURFATE_RANDOM_NEWFATE	You need a new fate!
TB_PICKYOURFATE_RANDOM_OPPONENTFATE	Your opponent needs a new fate!
TB_PICKYOURFATE_RANDOM_FIRSTFATE	Chosen fates affect both players!
TB_PICKYOURFATE_BUILDAROUND_NEWFATE	Remember, this bonus is only for you.
TB_PICKYOURFATE_BUILDAROUND_OPPONENTFATE	Remember, this bonus is only for your opponent.
TB_PICKYOURFATE_BUILDAROUND_FIRSTFATE	Chosen fates affect both players!
TB_PICKYOURFATE_BUILDAROUND_OPPONENT_FIRSTFATE	Your opponent's fate affects you as well!
TB_SHADOWTOWERS_SHADOWSPAWNED	If a side has no tower, then one is summoned.
TB_SHADOWTOWERS_SHADOWSPAWNEDNEXT	Missing towers are replaced at the start of their owner's turn.
