TAG	TEXT	COMMENT
PRESENCE_STATUS_LOGIN	Firing up the game	
PRESENCE_STATUS_TUTORIAL_PREGAME	Starting the game for first time	
PRESENCE_STATUS_TUTORIAL_GAME	Attempting to defeat {0}	0 = PRESENCE_TUTORIAL_*
PRESENCE_STATUS_WELCOMEQUESTS	Pondering new quests!	
PRESENCE_STATUS_HUB	Hanging out in main menu	
PRESENCE_STATUS_STORE	Browsing the Store	
PRESENCE_STATUS_QUESTLOG	Visiting the Quest Log	
PRESENCE_STATUS_PACKOPENING	Busting open card packs!!!!	
PRESENCE_STATUS_COLLECTION	Browsing the collection	
PRESENCE_STATUS_DECKEDITOR	Making a deck	
PRESENCE_STATUS_CRAFTING	Crafting some cards	
PRESENCE_STATUS_PLAY_DECKPICKER	Heading into Play Mode	
PRESENCE_STATUS_PLAY_QUEUE	Searching for an Opponent	
PRESENCE_STATUS_PLAY_GAME	Doing battle in Play Mode!	
PRESENCE_STATUS_PRACTICE_DECKPICKER	Heading into Practice Mode	
PRESENCE_STATUS_PRACTICE_GAME	Practicing against the Innkeeper	
PRESENCE_STATUS_ARENA_PURCHASE	Thinking about entering the Arena	
PRESENCE_STATUS_ARENA_FORGE	Forging an Arena Deck	
PRESENCE_STATUS_ARENA_IDLE	Hanging out in the Arena	
PRESENCE_STATUS_ARENA_QUEUE	Searching for an Arena opponent	
PRESENCE_STATUS_ARENA_GAME	Doing battle in the Arena	
PRESENCE_STATUS_ARENA_REWARD	Getting Arena rewards	
PRESENCE_STATUS_FRIENDLY_DECKPICKER	Preparing to battle a friend	
PRESENCE_STATUS_FRIENDLY_GAME	Doing battle with a friend	
PRESENCE_STATUS_ADVENTURE_CHOOSING_MODE	Looking for a Solo Adventure	
PRESENCE_STATUS_ADVENTURE_SCENARIO_SELECT	{0}	{0} replaced with the adventure mode, via PRESENCE_ADVENTURE_MODE_*, e.g. Naxxramas (Heroic) -- (originally i wanted it to say "Mission Select: Naxxramas Class Challenge" but this got too long for the UI element.)
PRESENCE_STATUS_ADVENTURE_SCENARIO_PLAYING_GAME	{0}	{0} replaced with the specific scenario string, via PRESENCE_SCENARIO_NAXX_*
PRESENCE_STATUS_SPECTATING_GAME_TUTORIAL	Spectating a tutorial game	
PRESENCE_STATUS_SPECTATING_GAME_PRACTICE	Spectating a practice game	
PRESENCE_STATUS_SPECTATING_GAME_PLAY	Spectating a Play Mode battle	
PRESENCE_STATUS_SPECTATING_GAME_ARENA	Spectating an Arena battle	
PRESENCE_STATUS_SPECTATING_GAME_FRIENDLY	Spectating a friendly battle	
PRESENCE_STATUS_SPECTATING_GAME_ADVENTURE_NAXX_NORMAL	Spectating a Naxxramas battle!	
PRESENCE_STATUS_SPECTATING_GAME_ADVENTURE_NAXX_HEROIC	Spectating Heroic Naxxramas!	
PRESENCE_STATUS_SPECTATING_GAME_ADVENTURE_NAXX_CLASS_CHALLENGE	Spectating a Naxxramas Class Challenge!	
PRESENCE_TUTORIAL_HOGGER	Hogger	
PRESENCE_TUTORIAL_MILLHOUSE	Millhouse Manastorm	
PRESENCE_TUTORIAL_MUKLA	King Mukla	
PRESENCE_TUTORIAL_HEMET	Hemet Nesingwary	
PRESENCE_TUTORIAL_ILLIDAN	Illidan Stormrage	
PRESENCE_TUTORIAL_CHO	Lorewalker Cho	
PRESENCE_ADVENTURE_MODE_NAXX_NORMAL	Naxxramas	
PRESENCE_ADVENTURE_MODE_NAXX_HEROIC	Naxxramas (Heroic)	
PRESENCE_ADVENTURE_MODE_NAXX_CLASS_CHALLENGE	Naxxramas Class Challenge	
PRESENCE_SCENARIO_NAXX_NORMAL_SCENARIO_ANUBREKHAN	Battling Anub'Rekhan	
