TAG	TEXT	COMMENT
ChromaggusBoss_Death_1	Roaaaaarr!	
ChromaggusBoss_EmoteResponse_1	ROAR!	
ChromaggusBoss_Start_1	Roar!	
GiantRat_LOOTA_BOSS_18h_DefeatPlayer	Ihihih!	
GiantRat_LOOTA_BOSS_18h_EmoteResponse	Ihihih!	
GILA_BOSS_65h_Gobbles_DefeatPlayer	Aaauhhh!	
GILA_BOSS_65h_Gobbles_EmoteResponse	Aaahhhuuur!	
GILA_BOSS_65h_Gobbles_Intro	Uuuaaauuuh!	
LOE_07_MINE_CART_EMOTES	CLUNK	
LOOTA_BOSS_21h_GnoshTheGreatWorm_EmoteResponse	Roar!	
LOOTA_BOSS_47h_Lava_FilledRoom_Emote	<Flusso di lava>	
LOOTA_BOSS_52h_TreasureVault_Emote	<Tintinnio di monete>	
OnyxiaBoss_Death_1	Roaaaaarr!	
OnyxiaBoss_EmoteResponse_1	ROAR!	
OnyxiaBoss_Start_1	Roar!	
POPUP_FROST_BRAWL	Fatica! Colui che avrà più Salute alla fine del prossimo turno, vincerà la partita.	
POPUP_FROST_BRAWL_ARMOR	In questa Rissa non ci si può nascondere dietro all'Armatura!	
TheMothergloop_LOOTA_BOSS_24h_EmoteResponse	<Rumori molesti>	
TrappedRoom_LOOTA_BOSS_48h_EmoteResponse	<Rumore di ingranaggi>	
VO_Ahune_Male_Elemental_Brawl_01	SÌ, FAI FUORI RAGNAROS!	
VO_Ahune_Male_Elemental_Brawl_02	ADESSO CHI HA IL POTERE, PARASSITA DEL FUOCO?!? 	
VO_Ahune_Male_Elemental_Brawl_03	QUESTA È LA MIA RIVINCITA!	
VO_Ahune_Male_Elemental_Brawl_04	ADESSO CHI È L'ELEMENTALE PIÙ UCCISO DAGLI AVVENTURIERI DI AZEROTH? EH?	
VO_Ahune_Male_Elemental_Brawl_05	CHI È L'INSETTO ADESSO?	
VO_Ahune_Male_Elemental_Brawl_07	LA PIETRA GHIACCIATA SI È SCIOLTA!	
VO_Ahune_Male_Elemental_Brawl_08	CHI DISTRUGGERÀ PIÙ PARASSITI?!?	
VO_Ahune_Male_Elemental_Brawl_11	ECCELLENTE!	
VO_Ahune_Male_Elemental_Brawl_15	DEVI DISTRUGGERE RAGNAROS CON PIÙ ARDORE!	
VO_Ahune_Male_Elemental_Brawl_16	ACCIDENTI! VEDO CHE ODI DAVVERO RAGNAROS!	
VO_Ahune_Male_Elemental_Brawl_18	NON MUOVERTI, PARASSITA!	
VO_Ahune_Male_Elemental_Brawl_20	BELLA GIOCATA, AMICONE! CE L'AVEVAMO QUASI FATTA.	
VO_Ahune_Male_Elemental_Brawl_25	CE L'ABBIAMO FATTA! OTTIMO LAVORO, AMICONE!	
VO_AHUNE_Male_Elemental_HSFireFestival_02	SÌ! IO E RAGNAROS TI SCHIACCEREMO! INSIEME!	
VO_AHUNE_Male_Elemental_HSFireFestival_04	MI STO DAVVERO GODENDO IL TUO FESTIVAL, AMICO MIO!	
VO_AHUNE_Male_Elemental_HSFireFestival_05	BELLA BATTUTA, AMICO!	
VO_Aran_Male_Shade_AranCrackle_01	Umpf. Ai miei tempi, Crepitio infliggeva sempre sei danni.	
VO_Aran_Male_Shade_AranDeath_02	Non di nuovo...	
VO_Aran_Male_Shade_AranEmoteResponse_01	Fuori! Fuori!	
VO_Aran_Male_Shade_AranHeroPower_01	Bruciate, vandali!	
VO_Aran_Male_Shade_AranMedivhSkin_01	Medivh? No, no... non stavo importunando gli ospiti...	
VO_Aran_Male_Shade_AranOpen_01	T'insegnerò il rispetto!	
VO_Aran_Male_Shade_AranSpell_03	Torna nella gelida oscurità!	
VO_Aran_Male_Shade_AranSpell_04	Il padrone è potente, ma anche io ho dei poteri!	
VO_Aran_Male_Shade_AranTrons_02	NO! NO! Quell'orrido frastuono! Quei terribili "ciao"!	
VO_Aran_Male_Shade_AranTurn1_01	Niente musica alta nella mia torre!	
VO_Aran_Male_Shade_AranTurn5_01	Non sono un giullare qualunque! Io sono Nielas Aran!	
VO_Barnes_Male_Human_FinalNazraTurn5_02	Aiuto! Abbiamo finito le banane! Mukla sta devastando la dispensa!	
VO_Barnes_Male_Human_JulianneTurn5_01	Che festa sarebbe senza uno spettacolo? E che spettacolo sarebbe senza pubblico?	
VO_Barnes_Male_Human_JulianneWin_01	Un atto è concluso! Ne restano due.	
VO_Barnes_Male_Human_Wing2Intro_02	Ti porgo il benvenuto al teatro! Sono Barnes, il direttore di scena. I portali per salvare Medivh sono di sopra, ma prima devi assolutamente assistere al nostro spettacolo!	
VO_Barnes_Male_Human_WolfBigMinion_01	Oh, nonna, che servitori grandi che hai!	
VO_Barnes_Male_Human_WolfClaws_01	Non preoccuparti! Quei grandi artigli servono solo... a far scena!	
VO_Barnes_Male_Human_WolfTurn5_01	Adoro la partecipazione del pubblico! Corri, gentile ospite, corri!	
VO_Barnes_Male_Human_WolfTurn9_01	Ahah! Che spettacolo! Meglio ancora dell'Ogre che abbiamo inseguito la settimana scorsa!	
VO_Barnes_Male_Human_WolfWin_01	Ah ah! Arriva il gran finale!	
VO_BigBadWolf_Male_Worgen_WolfBigMinion_01	È per squartarti meglio!	
VO_BigBadWolf_Male_Worgen_WolfDeath_01	Cacciato? Nooo...	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_01	ROAR!!!	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_02	UUUUUUHHH...	
VO_BigBadWolf_Male_Worgen_WolfEmoteResponse_01	Mmm...\nChe delizia...	
VO_BigBadWolf_Male_Worgen_WolfOpen_01	Scappa, ragazzina, scappa!	
VO_BigBadWolf_Male_Worgen_WolfScarletCrusader_01	Oh, Cappuccetto Rosso, dove te ne vai?	
VO_BigBadWolf_Male_Worgen_WolfTurn1_01	Guarda i tuoi servitori. Vedi come si fanno piccoli davanti a me?	
VO_BlackKing_Male_ChessPiece_ChessEmoteGreetings_01	Sempre.	
VO_BlackKing_Male_ChessPiece_ChessEmoteOops_01	O una trappola?	
VO_BlackKing_Male_ChessPiece_ChessEmoteSorry_01	Un sacrificio necessario.	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks	Quando vuoi.	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks_01	Quando vuoi.	
VO_BlackKing_Male_ChessPiece_ChessEmoteThreaten_01	Matto in 3 turni.	
VO_BlackKing_Male_ChessPiece_ChessEmoteWellPlayed_01	Non ancora.	
VO_BlackKing_Male_ChessPiece_ChessEmoteWow_01	Naturalmente.	
VO_BlackKing_Male_ChessPiece_ChessOpen_01	Nessuno passerà!	
VO_BOSS_AYA_Female_Pandaren_BC_0_Jade_Golem_02	Altri golem? Spettacolo!!!	
VO_BOSS_AYA_Female_Pandaren_BC_0_Jade_Golem_03	Sììì! IN MARCIA!	
VO_BOSS_AYA_Female_Pandaren_BC_0_Jade_Golem_04	Ancora! ANCORA!	
VO_BOSS_AYA_Female_Pandaren_BC_2_1st_Turn_Start_01	Niente affatto... Voglio Meccania tutta per me!	
VO_BOSS_AYA_Female_Pandaren_BC_2_2nd_Turn_Start_01	Meccania appartiene al Loto di Giada, e il Loto appartiene a me!	
VO_BOSS_AYA_Female_Pandaren_BC_2_Arms_Dealing1_01	Altre armi... molto originale!	
VO_BOSS_AYA_Female_Pandaren_BC_2_Fill1_01	Oooh, vedrai, questo ti piacerà...	
VO_BOSS_AYA_Female_Pandaren_BC_2_Fill2_01	Nah, mi piace qui! Credo che resterò!	
VO_BOSS_AYA_Female_Pandaren_BC_2_Goons_Win_01	No no no no no! Così NON va bene!	
VO_BOSS_AYA_Female_Pandaren_BC_2_Goons_Winning_02	Forse dovresti TACERE!	
VO_BOSS_AYA_Female_Pandaren_BC_2_Jade_Win_01	Il Loto di Giada vince ancora! Sono la migliore!	
VO_BOSS_AYA_Female_Pandaren_BC_2_Lotus_Winning_01	Eheheh, continua pure a giocare!	
VO_BOSS_AYA_Female_Pandaren_BC_3_1st_Turn_Start_01	Meccania è MERAVIGLIOSA! La voglio!	
VO_BOSS_AYA_Female_Pandaren_BC_3_1st_Turn_Start_02	Eheheh, volentieri...	
VO_BOSS_AYA_Female_Pandaren_BC_3_2nd_Turn_Start_01	Accidenti, come siete noiosi voi della Kabala...	
VO_BOSS_AYA_Female_Pandaren_BC_3_Fill1_01	Che bella giornata, eh, Kaz?	
VO_BOSS_AYA_Female_Pandaren_BC_3_Fill2_01	Forza, Kaz, lasciati andare. Prova a divertirti un po'.	
VO_BOSS_AYA_Female_Pandaren_BC_3_Jade_Golem3_01	Eheheheheh!	
VO_BOSS_AYA_Female_Pandaren_BC_3_Kabal_Winning_01	È perché sei una noia mortale.	
VO_BOSS_AYA_Female_Pandaren_BC_3_Kabal_Wins_01	Non ci posso credere! NO NO NO NO!	
VO_BOSS_AYA_Female_Pandaren_BC_3_Lotus_Winning_01	Oh, che succede, Kaz? Mi sembri un po' giù!	
VO_BOSS_AYA_Female_Pandaren_BC_3_Lotus_Wins_01	Be', è stato divertente. Grazie per la partita, Kaz!	
VO_BOSS_AYA_Female_Pandaren_BC_3_Potion1_02	Bla bla bla pozioni bla bla bla... Vieni qui e COMBATTI come un vero Troll!	
VO_BOSS_AYA_Female_Pandaren_BC_3_Potion3_01	Bleah! Questa roba è disgustosa!	
VO_BOSS_AYA_Female_Pandaren_Concede_01	Oh, non sei affatto divertente.	
VO_BOSS_AYA_Female_Pandaren_Greetings_01	Ehilà!	
VO_BOSS_AYA_Female_Pandaren_Oops_01	Ops!	
VO_BOSS_AYA_Female_Pandaren_START_01	Preparate i golem!	
VO_BOSS_AYA_Female_Pandaren_Thanks_02	Grazie!	
VO_BOSS_AYA_Female_Pandaren_Threaten_02	Mmm, credo che ora morirai.	
VO_BOSS_AYA_Female_Pandaren_Well_Played_01	Davvero spettacolare!	
VO_BOSS_AYA_Female_Pandaren_Wow_02	Accidenti!	
VO_BOSS_CHO_Male_Ogre_BC_1_1st_Turn_Start_01	SGHERRI TORVI FANNO PERICOLOSE!	
VO_BOSS_CHO_Male_Ogre_BC_1_Fill2_01	ADDOSSO, RAGAZZI!	
VO_BOSS_CHO_Male_Ogre_BC_2_Fill1_01	RAGAZZA HA OCCHI PAZZI!	
VO_BOSS_CHO_Male_Ogre_Concede_01	GIÀ! NO ASPETTA, È TUA!	
VO_BOSS_CHO_Male_Ogre_Oops_02	ERRORE FATTO!	
VO_BOSS_CHO_Male_Ogre_Thanks_01	GRAZIE.	
VO_BOSS_HAN_Male_Ogre_BC_0_Arms_Dealing_01	Qualcosa è caduto dal retro di un carro, eheheh...	
VO_BOSS_HAN_Male_Ogre_BC_0_Arms_Dealing_02	A me, Sgherri!	
VO_BOSS_HAN_Male_Ogre_BC_0_Arms_Dealing_03	Potenzia bene quello Sgherro e mettilo in gioco!	
VO_BOSS_HAN_Male_Ogre_BC_0_Arms_Dealing_04	Gli Sgherri Torvi si guardano le spalle a vicenda!	
VO_BOSS_HAN_Male_Ogre_BC_1_1st_Turn_Start_01	Queste sono strade pericolose, Kazakus.	
VO_BOSS_HAN_Male_Ogre_BC_1_2nd_Turn_Start_01	Meccania appartiene agli Sgherri.	
VO_BOSS_HAN_Male_Ogre_BC_1_2nd_Turn_Start_02	Tutto molto bello, ma Meccania appartiene agli Sgherri.	
VO_BOSS_HAN_Male_Ogre_BC_1_Fill1_01	Prendi le tue pozioni e vattene.	
VO_BOSS_HAN_Male_Ogre_BC_1_Fill2_01	Ehi, Cho, chiama gli Sgherri. Questo Troll ha bisogno di una lezione.	test
VO_BOSS_HAN_Male_Ogre_BC_1_Goons_Win_01	Mi spiace, Kazakus. Niente di personale.	
VO_BOSS_HAN_Male_Ogre_BC_1_Goons_Winning_01	Oh, sembra che tu abbia avuto un... incidente, Kazakus...	
VO_BOSS_HAN_Male_Ogre_BC_1_Kabal_Win_02	Non abbiamo... ancora finito... Kazakus.	
VO_BOSS_HAN_Male_Ogre_BC_1_Kabal_Winning_02	Eh. Non male, vecchietto.	
VO_BOSS_HAN_Male_Ogre_BC_1_Potion1_01	Sai, non mi sono mai piaciute le pozioni...	
VO_BOSS_HAN_Male_Ogre_BC_1_Potion2_01	Oh! Guarda dove lanci quella roba!	
VO_BOSS_HAN_Male_Ogre_BC_2_1st_Turn_Start_01	Meccania è nostra! Vattene, ragazzina!	
