TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	<b>Elusività</b>. <b>Veleno</b>. <b>Scudo Divino</b>. <b>Provocazione</b>. <b>Furto Vitale</b>. <b>Assalto</b>.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	<b>Elusività</b>. <b>Veleno</b>.\nGli altri tuoi servitori\nhanno +1 Attacco.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	<b>Elusività</b>. <b>Veleno</b>. Alla fine del tuo turno, infligge 3_danni al tuo eroe.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	<b>Elusività</b>. <b>Veleno</b>.\nAll'inizio del tuo turno, raddoppia l'Attacco\ndi questo servitore.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	<b>Elusività</b>. <b>Veleno</b>.\nCosta (1) in meno per ogni_tuo servitore.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	<b>Elusività</b>. <b>Veleno</b>.\n<b>Grido di Battaglia:</b>\nevoca una copia\ndi se stesso.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	[x]<b>Elusività</b>. <b>Veleno</b>.\n<b>Rantolo di Morte:</b> torna\nnel tuo mazzo.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	<b>Scudo Divino</b>. <b>Provocazione</b>.\n<b>Furto Vitale</b>. <b>Assalto</b>.\nGli altri tuoi servitori\nhanno +1_Attacco.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	<b>Scudo Divino</b>. <b>Provocazione</b>. <b>Furto Vitale</b>. <b>Assalto</b>. Alla fine del tuo turno, infligge _3 danni al tuo eroe.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	<b>Scudo Divino</b>. <b>Provocazione</b>. <b>Furto_Vitale</b>. <b>Assalto</b>. All'inizio del tuo turno, raddoppia l’Attacco di questo servitore.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	<b>Scudo Divino</b>. <b>Provocazione</b>. <b>Furto Vitale</b>. <b>Assalto</b>. Costa (1) in meno per ogni tuo servitore.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	<b>Scudo Divino</b>.\n<b>Provocazione</b>. <b>Furto Vitale</b>. <b>Assalto</b>. <b>Grido_di_Battaglia:</b> evoca una copia di\nse stesso.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	<b>Scudo Divino</b>.\n<b>Provocazione</b>. <b>Furto Vitale</b>. <b>Assalto</b>. <b>Rantolo di Morte:</b> torna nel tuo mazzo.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	Gli altri tuoi servitori\nhanno +1 Attacco. Alla fine del\ntuo turno, infligge 3 danni al_tuo_eroe.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	Gli altri tuoi servitori\nhanno +1 Attacco. All'inizio del\ntuo turno, raddoppia l'Attacco di questo servitore.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	Gli altri tuoi servitori\nhanno +1 Attacco. Costa (1)\nin meno per ogni tuo\nservitore.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	Gli altri tuoi servitori hanno +1 Attacco. <b>Grido di Battaglia:</b> evoca una copia di se stesso.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	Gli altri tuoi servitori\nhanno +1 Attacco. <b>Rantolo di Morte:</b> torna nel tuo mazzo.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	[x]Alla fine del tuo turno,\ninfligge 3 danni al tuo eroe.\nAll'inizio del tuo turno, raddoppia\nl’Attacco di questo servitore.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	[x]Alla fine del tuo turno,\ninfligge 3 danni al tuo eroe.\nCosta (1) in meno per ogni\ntuo servitore.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	Alla fine del tuo turno,\ninfligge 3 danni al tuo eroe.\n<b>Grido di Battaglia:</b> evoca una copia di questo servitore.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	[x]Alla fine del tuo turno,\ninfligge 3 danni al tuo eroe.\n<b>Rantolo di Morte:</b> torna\nnel tuo mazzo.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	All'inizio del tuo turno, raddoppia l'Attacco di questo servitore. Costa (1) in meno per ogni tuo servitore.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	All'inizio del tuo turno,\nraddoppia l’Attacco di questo servitore. <b>Grido di Battaglia:</b> evoca una copia di\nse stesso.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	[x]All'inizio del tuo turno,\nraddoppia l’Attacco di questo servitore.\n<b>Rantolo di Morte:</b> torna\nnel tuo mazzo.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	Costa (1) in meno per\nogni tuo servitore.\n<b>Grido di Battaglia:</b> evoca\nuna copia di se stesso.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	[x]Costa (1) in meno per\nogni tuo servitore.\n<b>Rantolo di Morte:</b> torna\nnel tuo mazzo.	
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	[x]<b>Grido di Battaglia:</b> evoca\nuna copia di se stesso.\n<b>Rantolo di Morte:</b> torna\nnel tuo mazzo.	
