TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	<b>Elusivo</b>, <b>Venenoso</b>, <b>Renascer</b>, <b>Escudo Divino</b>, <b>Provocar</b>, <b>Rapidez</b>, <b>Roubar Vida</b>	
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	<b>Elusivo</b>,\n<b>Venenoso</b>, <b>Renascer</b>\nSeus outros lacaios\ntêm +1/+1.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	[x]<b>Elusivo</b>,\n<b>Venenoso</b>, <b>Renascer</b>\nNo final do seu turno, cause \n_3 de dano ao seu herói.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	[x]<b>Elusivo</b>,\n<b>Venenoso</b>, <b>Renascer</b>\nNo início do seu turno, dobre\no Ataque deste lacaio.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	<b>Elusivo</b>,\n<b>Venenoso</b>, <b>Renascer</b>\nCusta (1) a menos para cada lacaio aliado.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	<b>Elusivo</b>,\n<b>Venenoso</b>, <b>Renascer</b>\n<b>Grito de Guerra:</b> Evoque\numa cópia deste card.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	[x]<b>Elusivo</b>,\n<b>Venenoso</b>, <b>Renascer</b>\n<b>Último Suspiro:</b> Coloque este\ncard no seu deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	<b>Escudo Divino</b>, <b>Provocar</b>,\n<b>Roubar Vida</b>, <b>Rapidez</b>\nSeus outros lacaios\ntêm +1/+1.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	[x]<b>Escudo Divino</b>, <b>Provocar</b>,\n<b>Roubar Vida</b>, <b>Rapidez</b>\nNo final do seu turno, cause\n_3 de dano ao seu herói.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	[x]<b>Escudo Divino</b>, <b>Provocar</b>,\n<b>Roubar Vida</b>, <b>Rapidez</b>\nNo início do seu turno, dobre\no Ataque deste lacaio.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	<b>Escudo Divino</b>, <b>Provocar</b>,\n<b>Roubar Vida</b>, <b>Rapidez</b>\nCusta (1) a menos para cada lacaio aliado.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	<b>Escudo Divino</b>, <b>Provocar</b>,\n<b>Roubar Vida</b>, <b>Rapidez</b>\n<b>Grito de Guerra:</b> Evoque\numa cópia deste lacaio.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	[x]<b>Escudo Divino</b>, <b>Provocar</b>,\n<b>Roubar Vida</b>, <b>Rapidez</b>\n<b>Último Suspiro:</b> Coloque este\ncard no seu deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	Seus outros lacaios têm +1/+1.\nNo final do seu turno, cause\n3 de dano ao seu herói.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	Seus outros lacaios têm +1/+1.\nNo início do seu turno, dobre o Ataque deste lacaio.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	Seus outros lacaios\ntêm +1/+1.\nCusta (1) a menos para cada lacaio aliado.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	Seus outros lacaios têm +1/+1.\n<b>Grito de Guerra:</b> Evoque uma cópia deste lacaio.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	Seus outros lacaios têm +1/+1.\n<b>Último Suspiro:</b> Coloque este card no seu deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	No final do seu turno,\ncause 3 de dano ao seu herói.\nNo início do seu turno, dobre o Ataque deste lacaio.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	No final do seu turno,\ncause 3 de dano ao seu herói.\nCusta (1) a menos para cada lacaio aliado.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	No final do seu turno,\ncause 3 de dano ao seu herói.\n<b>Grito de Guerra:</b> Evoque uma cópia deste lacaio.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	No final do seu turno,\ncause 3 de dano ao seu herói.\n<b>Último Suspiro:</b> Coloque este card no seu deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	No início do seu turno,\ndobre o Ataque deste lacaio.\nCusta (1) a menos para cada lacaio aliado.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	No início do seu turno,\ndobre o Ataque deste lacaio.\n<b>Grito de Guerra:</b> Evoque uma cópia deste lacaio.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	No início do seu turno,\ndobre o Ataque deste lacaio.\n<b>Último Suspiro:</b> Coloque este card no seu deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	Custa (1) a menos para cada lacaio aliado.\n<b>Grito de Guerra:</b> Evoque uma cópia deste lacaio.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	Custa (1) a menos para cada lacaio aliado.\n<b>Último Suspiro:</b> Coloque este card no seu deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	<b>Grito de Guerra:</b> Evoque uma cópia deste lacaio.\n<b>Último Suspiro:</b> Coloque este card no seu deck.	
