TAG	TEXT	COMMENT
ChromaggusBoss_Death_1	Grauuuurr!	
ChromaggusBoss_EmoteResponse_1	*Rosnado*	
ChromaggusBoss_Start_1	Raaargh!	
GiantRat_LOOTA_BOSS_18h_DefeatPlayer	<Guinchado>	
GiantRat_LOOTA_BOSS_18h_EmoteResponse	<Guinchado>	
LOE_07_MINE_CART_EMOTES	CLANQUE	
LOOTA_BOSS_21h_GnoshTheGreatWorm_EmoteResponse	<Rugido>	
LOOTA_BOSS_47h_Lava_FilledRoom_Emote	<Raiva>	
LOOTA_BOSS_52h_TreasureVault_Emote	<Bufunfa>	
OnyxiaBoss_Death_1	Grauuuurr!	
OnyxiaBoss_EmoteResponse_1	*Rosnado*	
OnyxiaBoss_Start_1	Raaargh!	
POPUP_FROST_BRAWL	Fadiga! Quem tiver mais vida no final do próximo turno vai vencer o jogo.	
POPUP_FROST_BRAWL_ARMOR	Nesta contenda ninguém se esconde em armadura!	
TheMothergloop_LOOTA_BOSS_24h_EmoteResponse	<Arroto>	
TrappedRoom_LOOTA_BOSS_48h_EmoteResponse	<Rabugice>	
VO_Ahune_Male_Elemental_Brawl_01	SIM! ESMAGUE RAGNAROS!	
VO_Ahune_Male_Elemental_Brawl_02	QUEM DETÉM O PODER AGORA, TOLO DO FOGO!?	
VO_Ahune_Male_Elemental_Brawl_03	SERÁ MINHA VINGANÇA!	
VO_Ahune_Male_Elemental_Brawl_04	QUEM VIROU "O PRINCIPAL ALVO DOS AVENTUREIROS DE AZEROTH" AGORA?!	
VO_Ahune_Male_Elemental_Brawl_05	E AGORA... QUEM É O INSETO!?	
VO_Ahune_Male_Elemental_Brawl_07	A PEDRA DE GELO DERRETEU!	
VO_Ahune_Male_Elemental_Brawl_08	QUEM DESTRUIRÁ MAIS TOLOS!?	
VO_Ahune_Male_Elemental_Brawl_11	EXCELENTE!	
VO_Ahune_Male_Elemental_Brawl_15	TEM QUE DESTRUIR RAGNAROS AINDA MAIS!	
VO_Ahune_Male_Elemental_Brawl_16	NOSSA! VOCÊ ODEIA MESMO RAGNAROS?	
VO_Aran_Male_Shade_AranCrackle_01	Hunf. No meu tempo, Estalar sempre causava seis de dano.	
VO_Aran_Male_Shade_AranDeath_02	De novo não...	
VO_Aran_Male_Shade_AranEmoteResponse_01	Saiam! Saiam!	
VO_Aran_Male_Shade_AranHeroPower_01	Queimem, seus vândalos!	
VO_Aran_Male_Shade_AranMedivhSkin_01	Medivh? Não, não... eu não incomodei os convidados...	
VO_Aran_Male_Shade_AranOpen_01	Vão aprender a não interferir!	
VO_Aran_Male_Shade_AranSpell_03	Volte para a fria escuridão!	
VO_Aran_Male_Shade_AranSpell_04	O mestre é poderoso, mas também tenho meus poderes!	
VO_Aran_Male_Shade_AranTrons_02	NÃO! NÃO! Que algazarra terrível! Que horrendos "olás"!	
VO_Aran_Male_Shade_AranTurn1_01	Nada de música alta na minha torre!	
VO_Aran_Male_Shade_AranTurn5_01	Eu não sou um reles bufão! Eu sou Nielas Aran!	
VO_Barnes_Male_Human_FinalNazraTurn5_02	Socorro! Acabaram as bananas! Mukla está destroçando a despensa!	
VO_Barnes_Male_Human_JulianneTurn5_01	Onde já se viu uma festa sem atrações? E onde já se viu atrações sem plateia?	
VO_Barnes_Male_Human_JulianneWin_01	Terminado um ato! Restam dois!	
VO_Barnes_Male_Human_Wing2Intro_02	Boas-vindas ao teatro! Meu nome é Barnes, sou o Produtor. Os portais para salvar Medivh ficam lá em cima, mas antes você tem que assistir ao show!	
VO_Barnes_Male_Human_WolfBigMinion_01	Ai, vovó, que lacaios grandes você tem!	
VO_Barnes_Male_Human_WolfClaws_01	Não se preocupe! Essas garras enormes são decorativas!	
VO_Barnes_Male_Human_WolfTurn5_01	Eu adoro quando a plateia participa! Corram, convidados, corram!	
VO_Barnes_Male_Human_WolfTurn9_01	Haha! Um grande espetáculo! Bem melhor do que o ogro que perseguimos semana passada!	
VO_Barnes_Male_Human_WolfWin_01	A-há! O final está perto!	
VO_BigBadWolf_Male_Worgen_WolfBigMinion_01	É para te esmagar melhor!	
VO_BigBadWolf_Male_Worgen_WolfDeath_01	Virei caça? Não...	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_01	*Rosnado*	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_02	*choraminga*	
VO_BigBadWolf_Male_Worgen_WolfEmoteResponse_01	Hum... \nDelícia...	
VO_BigBadWolf_Male_Worgen_WolfOpen_01	Fuja, garotinha, fuja!	
VO_BigBadWolf_Male_Worgen_WolfScarletCrusader_01	Ah, capuzinho vermelho, aonde você vai?	
VO_BigBadWolf_Male_Worgen_WolfTurn1_01	Olhe seus lacaios. Vê como se encolhem diante de mim?	
VO_BlackKing_Male_ChessPiece_ChessEmoteGreetings_01	Sempre.	
VO_BlackKing_Male_ChessPiece_ChessEmoteOops_01	Ou uma armadilha?	
VO_BlackKing_Male_ChessPiece_ChessEmoteSorry_01	Um sacrifício necessário.	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks	Disponha.	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks_01	Disponha.	
VO_BlackKing_Male_ChessPiece_ChessEmoteThreaten_01	Xeque-mate em 3.	
VO_BlackKing_Male_ChessPiece_ChessEmoteWellPlayed_01	Ainda não.	
VO_BlackKing_Male_ChessPiece_ChessEmoteWow_01	Naturalmente.	
VO_BlackKing_Male_ChessPiece_ChessOpen_01	Ninguém passará!	
