TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	*risada*	
TUTORIAL01_HOGGER_02	*ronco*	
TUTORIAL01_HOGGER_04	ha ha ha! Grauur.	
TUTORIAL01_HOGGER_05	hehehehahaha!	
TUTORIAL01_HOGGER_06	hehehehoohoohoo!	
TUTORIAL01_HOGGER_07	Ha Haaa!	
TUTORIAL01_HOGGER_08	AAaarooh!!	
TUTORIAL01_JAINA_01	Pode vir!	
TUTORIAL01_JAINA_02	Eu preciso de alguns lacaios para lutar por mim.	
TUTORIAL01_JAINA_03	Sua vez, GNOLL.	
TUTORIAL01_JAINA_04	Você vai se arrepender!	
TUTORIAL01_JAINA_05	Excelente.	
TUTORIAL01_JAINA_06	Há! Mais um lacaio! Era disso que eu precisava. 	
TUTORIAL01_JAINA_07	Você está exatamente onde eu quero.	
TUTORIAL01_JAINA_09	Há! Agora na jugular!	
TUTORIAL01_JAINA_10	5 de ataque? Essa coisa é enorme!	
TUTORIAL01_JAINA_13	De volta para o Cárcere, Hogger.	
TUTORIAL01_JAINA_15	Hah! Não é dano suficiente para matar meu lacaio!	
TUTORIAL01_JAINA_16	Você é o próximo, Hogger!	
TUTORIAL01_JAINA_17	Huum... Ataco um Gnoll ou vou direto no Hogger?	
TUTORIAL01_JAINA_18	Eu posso matar esse Gnoll Enorme ou ir direto atrás do mestre.	
TUTORIAL01_JAINA_19	Um card de FEITIÇO! Só pode ser usado uma vez, então é melhor usar direito!	
TUTORIAL01_JAINA_20	Bom, pelo menos ele não jogou nenhum card neste turno...	
TUTORIAL01_JAINA_21	Dois cards? Ele devia estar guardando um.	
TUTORIAL02_JAINA_03	*suspiro* Como? 	
TUTORIAL02_JAINA_04	Preciso esperar um turno para o meu mana recarregar.	
TUTORIAL02_JAINA_05	Preciso de mais mana para poder jogar isso.	
TUTORIAL02_JAINA_07	Mais cards! Excelente!	
TUTORIAL02_JAINA_08	Ah. Meu mana foi restaurado.	
TUTORIAL02_MILLHOUSE_01	Nhé! Eu queria ser o primeiro! 	
TUTORIAL02_MILLHOUSE_02	Jaina... prepare-se para enfrentar a fúria de Millhouse Manavento!	
TUTORIAL02_MILLHOUSE_03	Que tipo de lacaio é esse? Um murloc? Hahahaha!	
TUTORIAL02_MILLHOUSE_04	Nossa! Olha só! Esse card é incrível!	
TUTORIAL02_MILLHOUSE_05	Espera só até eu ter mais mana!!	
TUTORIAL02_MILLHOUSE_06	Jaina, eu espero que você goste de RUÍNA!	
TUTORIAL02_MILLHOUSE_07	Mais mana! Lá vamos nós!	
TUTORIAL02_MILLHOUSE_08	Sabe como eu me sinto?	
TUTORIAL02_MILLHOUSE_09	VENCEDOR! Haha!	
TUTORIAL02_MILLHOUSE_10	Aeaaahh! Cuidado com o bigode! 	
TUTORIAL02_MILLHOUSE_11	Você vai adorar isso aqui!	
TUTORIAL02_MILLHOUSE_13	Espera só até eu juntar 10 de mana!	
TUTORIAL02_MILLHOUSE_15	Anda logo! Eu mal posso esperar para jogar esse card!	
TUTORIAL02_MILLHOUSE_16	Bora, bora, vai, vai, vai!	
TUTORIAL02_MILLHOUSE_17	Para de me atacar! Eu tô tentando ganhar esse jogo!	
TUTORIAL02_MILLHOUSE_19	Meu advogado vai te procurar!	
TUTORIAL03_JAINA_01	É o Rei Mukla! Ataque enquanto ele está sozinho!	
TUTORIAL03_JAINA_05	É o melhor que você pode fazer, Mukla? Barris?	
TUTORIAL03_JAINA_07	Mate o Macaco para que eu possa acabar com Mukla!	
TUTORIAL03_JAINA_12	Você ouviu alguma coisa?	
TUTORIAL03_JAINA_13	Mas o que...?	
TUTORIAL03_JAINA_14	Por que esses macacos estão jogando bananas em mim?	
TUTORIAL03_JAINA_15	Macacos malucos!	
TUTORIAL03_JAINA_16	Ele é forte demais! É melhor acabar com o Mukla!	
TUTORIAL03_JAINA_17	Eu preciso de um lacaio para Provocar aquele gorila gigante!	
TUTORIAL03_JAINA_18	Estou sem defesas!	
TUTORIAL03_JAINA_19	Aquela coisa é enorme... mas pelo menos não tem Provocar.	
TUTORIAL03_MUKLA_01	rrrRRRAAAARRGH!	
TUTORIAL03_MUKLA_03	Heh, Heh, Heh...	
TUTORIAL03_MUKLA_04	Ooh! Ooh! Ooh!	
TUTORIAL03_MUKLA_05	Ha! Ooh Oooh!	
TUTORIAL03_MUKLA_06	Raooh! Oooh! OOoh!	
TUTORIAL04_HEMET_01	Mas tu num é uma joia de guria?	
TUTORIAL04_HEMET_02	Ahn? Ninguém fala com o velho Rosarães desse jeito!	
TUTORIAL04_HEMET_03	Ha! Eu primeiro! 	
TUTORIAL04_HEMET_04	Ah, ótimo, porque tu vai precisar!	
TUTORIAL04_HEMET_06	Tu se acostumou a enfrentar lacaios.	
TUTORIAL04_HEMET_07	O ROSARÃES LUTA COMO HOMEM MACHO!	
TUTORIAL04_HEMET_08	Uma fera! Hahaha! Vai enfeitar a minha parede!	
