TAG	TEXT	COMMENT
GAMEPLAY_EMOTE_EX1_323h_CONCEDE	Você venceu... MAS SEU MUNDO CONTINUA CONDENADO!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_FULL_MINIONS	LACAIOS DEMAIS.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_GENERIC	NÃO É POSSÍVEL FAZER ISSO.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_HAND_FULL	CARDS DEMAIS!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_I_ATTACKED	EU JÁ ATAQUEI.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_JUST_PLAYED	ISSO ACABOU DE CHEGAR!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_MINION_ATTACKED	ESSA COISA JÁ ATACOU.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_MANA	MANA INSUFICIENTE!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_WEAPON	ONDE FOI PARAR MINHA ARMA?	
GAMEPLAY_EMOTE_EX1_323h_ERROR_PLAY	NÃO É POSSÍVEL JOGAR ISSO.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_STEALTH	TÁ FURTIVO.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TARGET	INVÁLIDO.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TAUNT	AQUELE LACAIO COM PROVOCAR ESTÁ NO MEU CAMINHO!	
GAMEPLAY_EMOTE_EX1_323h_GOOD_GAME	BOM JOGO!	
GAMEPLAY_EMOTE_EX1_323h_GREETINGS	Você está enfrentando Jaraxxus, lorde eredar da Legião Ardente!	
GAMEPLAY_EMOTE_EX1_323h_LOW_CARDS	Meu deck! ESTOU FICANDO SEM CARDS!	
GAMEPLAY_EMOTE_EX1_323h_LUNAR_NEW_YEAR	Você está enfrentando Jaraxxus, lorde eredar da Legião Ardente!	
GAMEPLAY_EMOTE_EX1_323h_NO_CARDS	NÃÃÃÃO! ESTOU SEM CARDS!	
GAMEPLAY_EMOTE_EX1_323h_OOPS	ERRO!	
GAMEPLAY_EMOTE_EX1_323h_SORRY	JARAXXUS SE... desculpa.	
GAMEPLAY_EMOTE_EX1_323h_THANKS	OBRIGADO.	
GAMEPLAY_EMOTE_EX1_323h_THINK1	Huum...	
GAMEPLAY_EMOTE_EX1_323h_THINK2	Estou pensando...	
GAMEPLAY_EMOTE_EX1_323h_THINK3	Como vou destruir você...	
GAMEPLAY_EMOTE_EX1_323h_THREATEN	ANIQUILAÇÃO!!!	
GAMEPLAY_EMOTE_EX1_323h_TIMER	O TEMPO ACABOU!	
GAMEPLAY_EMOTE_EX1_323h_WELL_PLAYED	BEM JOGADO!	
GAMEPLAY_EMOTE_EX1_323h_WINTERVEIL_GREETINGS	VOU ME REFESTELAR COM SUA ALMA NESTE VÉU DE INVERNO!	
GAMEPLAY_EMOTE_EX1_323h_WOW_04	NÃO É POSSÍVEL!	
GAMEPLAY_EMOTE_HERO_01_CONCEDE	Eu escolho a morte!	
GAMEPLAY_EMOTE_HERO_01_ERROR_FULL_MINIONS	Eu tenho lacaios demais.	
GAMEPLAY_EMOTE_HERO_01_ERROR_GENERIC	Não posso fazer isso.	
GAMEPLAY_EMOTE_HERO_01_ERROR_HAND_FULL	Minha mão está cheia!	
GAMEPLAY_EMOTE_HERO_01_ERROR_I_ATTACKED	Eu já ataquei.	
GAMEPLAY_EMOTE_HERO_01_ERROR_JUST_PLAYED	Espere um turno para o lacaio se preparar.	
GAMEPLAY_EMOTE_HERO_01_ERROR_MINION_ATTACKED	Esse lacaio já atacou.	
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_MANA	Não tenho mana suficiente.	
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_WEAPON	Preciso de uma arma.	
GAMEPLAY_EMOTE_HERO_01_ERROR_PLAY	Eu não posso jogar isso.	
GAMEPLAY_EMOTE_HERO_01_ERROR_STEALTH	Não consigo mirar em lacaios Furtivos.	
GAMEPLAY_EMOTE_HERO_01_ERROR_TARGET	Esse não é um alvo válido.	
GAMEPLAY_EMOTE_HERO_01_ERROR_TAUNT	Há um lacaio com Provocar no meio do caminho.	
GAMEPLAY_EMOTE_HERO_01_EVENT_LUNAR_NEW_YEAR	Hah, saudações.	
GAMEPLAY_EMOTE_HERO_01_GOOD_GAME	Bom jogo.	
GAMEPLAY_EMOTE_HERO_01_GREETINGS	Hah, saudações.	
GAMEPLAY_EMOTE_HERO_01_LOW_CARDS	Estou quase sem cards!	
GAMEPLAY_EMOTE_HERO_01_MIRROR_START	Haha! Pode vir!	
GAMEPLAY_EMOTE_HERO_01_NO_CARDS	Estou sem cards!	
GAMEPLAY_EMOTE_HERO_01_OOPS	Isso foi um erro.	
GAMEPLAY_EMOTE_HERO_01_SORRY	Sinto muito por isso.	
GAMEPLAY_EMOTE_HERO_01_START	Vitória ou Morte!	
GAMEPLAY_EMOTE_HERO_01_THANKS	Obrigado.	
GAMEPLAY_EMOTE_HERO_01_THINK1	Huum...	
GAMEPLAY_EMOTE_HERO_01_THINK2	Huum... Será que...	
GAMEPLAY_EMOTE_HERO_01_THINK3	E agora...	
GAMEPLAY_EMOTE_HERO_01_THREATEN	Vou esmagar você!	
GAMEPLAY_EMOTE_HERO_01_TIMER	Tenho que escolher!	
GAMEPLAY_EMOTE_HERO_01_WELL_PLAYED	Bem jogado.	
GAMEPLAY_EMOTE_HERO_01_WINTERVEIL_GREETINGS	Feliz Festa do Véu de Inverno!	
GAMEPLAY_EMOTE_HERO_01_WOW	Impressionante!	
GAMEPLAY_EMOTE_HERO_01A_CONCEDE	Bah! Tu me pegou dessa vez.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_FULL_MINIONS	Eu tenho lacaios demais.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_GENERIC	Eu não posso fazer isso.	
