TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	*смеется*	
TUTORIAL01_HOGGER_02	*фыркает*	
TUTORIAL01_HOGGER_04	Ха-ха-ха! Аррррг.	
TUTORIAL01_HOGGER_05	Хехехехахаха!	
TUTORIAL01_HOGGER_06	Хехехехохохо!	
TUTORIAL01_HOGGER_07	Ха! Хаха!	
TUTORIAL01_HOGGER_08	Ааарррррггг!	
TUTORIAL01_JAINA_01	Ну давай, я жду!	
TUTORIAL01_JAINA_02	Мне нужны существа, которые будут сражаться за меня.	
TUTORIAL01_JAINA_03	Твой ход, гнолл.	
TUTORIAL01_JAINA_04	Ты об этом пожалеешь!	
TUTORIAL01_JAINA_05	Превосходно.	
TUTORIAL01_JAINA_06	О! Еще одно существо. Как раз вовремя.	
TUTORIAL01_JAINA_07	Ты как раз там, где нужно!	
TUTORIAL01_JAINA_09	Ха! Теперь я тебя уничтожу!	
TUTORIAL01_JAINA_10	Атака 5? Какой огромный зверь!	
TUTORIAL01_JAINA_13	Возвращайся в тюрьму, Дробитель.	
TUTORIAL01_JAINA_15	Этого недостаточно, чтобы убить мое существо!	
TUTORIAL01_JAINA_16	Ты будешь следующим, Дробитель!	
TUTORIAL01_JAINA_17	Хм... Кого мне атаковать: гнолла или самого Дробителя?	
TUTORIAL01_JAINA_18	Я могу убить этого огромного гнолла или напасть на его хозяина.	
TUTORIAL01_JAINA_19	Это карта заклинания! Ее можно использовать только один раз...	
TUTORIAL01_JAINA_20	А! Хорошо хоть он не разыграл ни одной карты в этот ход.	
TUTORIAL01_JAINA_21	Две карты?! Должно быть, одну он припас.	
TUTORIAL02_JAINA_03	*вздыхает* И чем же?	
TUTORIAL02_JAINA_04	Моя мана восстановится только через ход.	
TUTORIAL02_JAINA_05	Чтобы разыграть эту карту, мне нужно больше маны.	
TUTORIAL02_JAINA_07	Чем больше карт – тем лучше!	
TUTORIAL02_JAINA_08	Моя мана восстановилась.	
TUTORIAL02_MILLHOUSE_01	Что? Я хотел ходить первым!	
TUTORIAL02_MILLHOUSE_02	Джайна! Приготовься сразиться с могущественным Миллхаусом Манаштормом!	
TUTORIAL02_MILLHOUSE_03	Что это еще за существо? Мурлок? А-ха-ха-ха-ха!	
TUTORIAL02_MILLHOUSE_04	Ой! Ой! Какая потрясающая карта!	
TUTORIAL02_MILLHOUSE_05	Ну подожди, я только подкоплю ману!!!	
TUTORIAL02_MILLHOUSE_06	Джайна, надеюсь, тебе нравится РОООООК!	
TUTORIAL02_MILLHOUSE_07	А вот и еще один кристалл маны!	
TUTORIAL02_MILLHOUSE_08	Знаешь, чем это пахнет?	
TUTORIAL02_MILLHOUSE_09	ПОБЕДОЙ! Ха!	
TUTORIAL02_MILLHOUSE_10	Эй! Усы не трогай!	
TUTORIAL02_MILLHOUSE_11	Тебе это понравится!	
TUTORIAL02_MILLHOUSE_13	Ну погоди, вот я наберу 10 кристаллов маны!	
TUTORIAL02_MILLHOUSE_15	Быстрее! Мне не терпится разыграть эту карту!	
TUTORIAL02_MILLHOUSE_16	Ну давай, давай, давай!	
TUTORIAL02_MILLHOUSE_17	Хватит меня атаковать! Я пытаюсь выиграть!	
TUTORIAL02_MILLHOUSE_19	Мои адвокаты с тобой свяжутся!	
TUTORIAL03_JAINA_01	Это же король Мукла! Атакуем его, пока он один!	
TUTORIAL03_JAINA_05	Это все, что ты можешь, Мукла? Кидаться бочками?	
TUTORIAL03_JAINA_07	Убей эту обезьяну, чтобы я могла покончить с Муклой!	
TUTORIAL03_JAINA_12	Ты это слышишь?	
TUTORIAL03_JAINA_13	Что за?..	
TUTORIAL03_JAINA_14	Зачем эти обезьяны бросают в меня бананы?	
TUTORIAL03_JAINA_15	Надоедливые мартышки!	
TUTORIAL03_JAINA_16	Он слишком силен! Лучше покончим с Муклой!	
TUTORIAL03_JAINA_17	Мне нужен провокатор, чтобы отвлечь эту гигантскую гориллу.	
TUTORIAL03_JAINA_18	Я беззащитна!	
TUTORIAL03_JAINA_19	Это существо огромно... но оно хотя бы не умеет провоцировать.	
TUTORIAL03_MUKLA_01	Аррррррррррррррг!	
TUTORIAL03_MUKLA_03	Хе-хе-хе...	
TUTORIAL03_MUKLA_04	Ух! Ух! Ух!	
TUTORIAL03_MUKLA_05	Хух! Ух! Ух!	
TUTORIAL03_MUKLA_06	Аррр! Уух! Ух!	
TUTORIAL04_HEMET_01	Ух, какая ты милашка!	
TUTORIAL04_HEMET_02	Что? Не смей так говорить со стариной Хемингом!	
TUTORIAL04_HEMET_03	Ха! Я буду ходить первым!	
TUTORIAL04_HEMET_04	Славно, потому что она тебе понадобится!	
TUTORIAL04_HEMET_06	Ты, наверное, привыкла сражаться против существ.	
TUTORIAL04_HEMET_07	Но Хеминг привык полагаться на себя!	
TUTORIAL04_HEMET_08	Какой зверь! Я сделаю из него трофей!	
TUTORIAL04_HEMET_09	Я сдеру с него шкуру! Мне нужен новый шарф.	
TUTORIAL04_HEMET_10	Ха-ха-ха, а вот и мой ужин!	
TUTORIAL04_HEMET_11	Обожаю охоту!	
TUTORIAL04_HEMET_12a	Эй, это нечестно!	
TUTORIAL04_HEMET_12b	Ты шутишь?	
TUTORIAL04_HEMET_13	Эх, может, мне снова начать писать?	
TUTORIAL04_HEMET_15	Это все напоминает мне о том, как я охотился на огромного тигра Бангалаша.	
TUTORIAL04_HEMET_16	Признайся, ты читала мою книгу «Зеленые холмы Тернистой долины»?	
TUTORIAL04_HEMET_17	В Тернистой долине такого бы никогда не случилось!	
TUTORIAL04_HEMET_18	Тоже мне, девчонка!	
TUTORIAL04_HEMET_19	Трепещи перед моим ОГРОМНЫМ существом!	
TUTORIAL04_HEMET_20	В яблочко!	
TUTORIAL04_JAINA_01	Следи за языком.	
TUTORIAL04_JAINA_02	Зато я возьму еще одну карту.	
TUTORIAL04_JAINA_03	Мне нечего разыграть за один кристалл маны.	
TUTORIAL04_JAINA_04	Я тоже кое-чего умею, дворф!	
TUTORIAL04_JAINA_05	Кому мне нанести урон: Хемингу или его существу?	
TUTORIAL04_JAINA_08	Одна единица здоровья? Идеальная цель.	
TUTORIAL04_JAINA_09	Как бы мне избавиться от этого монстра?..	
TUTORIAL05_ILLIDAN_01	Ты не готова!	All of Illidan's lines are iconic from WoW, please use the same translation if possible.
TUTORIAL05_ILLIDAN_02	Почувствуй ненависть десяти тысяч лет!	
TUTORIAL05_ILLIDAN_03	Взгляни в глаза Предателя!	
TUTORIAL05_ILLIDAN_04	Кто следующим отведает моих клинков?!	
TUTORIAL05_ILLIDAN_05	Узри пламя Аззинота!	
TUTORIAL05_ILLIDAN_06	Ты ничего не знаешь о силе!	
TUTORIAL05_ILLIDAN_08	Узри силу истинного демона!	
TUTORIAL05_ILLIDAN_09	Вы не достойны даже коснуться меня!	
TUTORIAL05_ILLIDAN_10	Какая наглость!	
TUTORIAL05_ILLIDAN_11	Это будет забавно!	
TUTORIAL05_JAINA_01	Да что ты говоришь? Я только что сыграла пять партий.	
TUTORIAL05_JAINA_02	У него очень мощная сила героя!	
TUTORIAL05_JAINA_05	Мы должны убить Иллидана!	
TUTORIAL05_JAINA_06	Нельзя медлить! Прикончи его!	
TUTORIAL06_CHO_01	А, Джайна! Рад видеть тебя.	
TUTORIAL06_CHO_02	Покажи, чему ты научилась.	
TUTORIAL06_CHO_03	Отлично! Превосходно!	
TUTORIAL06_CHO_04	О! Мудрый ход.	
TUTORIAL06_CHO_05	Война должна быть последним средством.	
TUTORIAL06_CHO_06	Возможно.	
TUTORIAL06_CHO_07	Тебе меня не достать!	
TUTORIAL06_CHO_08	Сверху все кажется таким маленьким!	
TUTORIAL06_CHO_09	Порой поражение от победы отделяет всего один удар.	
TUTORIAL06_CHO_12	О... А ты многое умеешь.	
TUTORIAL06_CHO_15	Я плохо обращаюсь с мечами и стрелами, но у меня много друзей!	
TUTORIAL06_CHO_17	Мои друзья умеют лечить, не только убивать.	
TUTORIAL06_CHO_20	Твое могущество велико, Джайна.	
TUTORIAL06_CHO_21	Страх ведет к злости. Злость ведет к ненависти. А ненависть приводит к расстройству желудка.	
TUTORIAL06_JAINA_01	Хранитель истории Чо.	
TUTORIAL06_JAINA_02	Я не буду поддаваться.	
TUTORIAL06_JAINA_03	Ты наивен, хранитель истории.	
TUTORIAL06_JAINA_04	Пока да. Но твоя очередь придет, когда я покончу с твоими существами.	
VO_ANNOUNCER_CM_HELP_DECK_50	Тут я могу тебе помочь. Вот что я предлагаю.	
VO_ANNOUNCER_DISCONNECT_45	Твой противник вышел.	
VO_Aran_Male_Shade_AranBossCoin_02	Хм-м. Гостям не место в покоях хозяина. Прочь!	
VO_Barnes_Male_Human_JulianneBossCoin_01	Первый акт – история любви!	
VO_Barnes_Male_Human_OzBossCoin_02	И последний акт! Злая ведьма преследует девочку! Вернется ли она домой?	
VO_Barnes_Male_Human_WolfBossCoin_02	Милая бабушка... Но в ее глазах кроется ужасная тайна!	
VO_BRANN_OPEN_WING_2_03	Привет, коллега! Я – Бранн Бронзобород, основатель Лиги исследователей! Я выяснил, что навершие посоха спрятано в древних шахтах Ульдамана.	
VO_BRANN_SCARVASH_PREGAME_ALT_06	Ульдаман кишит троггами! Нам придется отбиваться от них по пути к навершию.	
VO_Curator_Male_ArcaneGolem_IllhoofBossCoin_02	Демон Больное Копыто. Самый опасный экспонат. Соблюдайте осторожность.	
VO_Curator_Male_ArcaneGolem_NightbaneBossCoin_02	Смотрителю очень... жаль. Помогите вернуть животных.	
VO_ELISE_SLITHERSPEAR_PREGAME_ALT_04	Наги поймали Финли! Торопись, исследователь, иначе его съедят заживо!	
VO_ELISE_STAFF_CLICK_DONE_65	Посох Созидания! Благодаря твоей отваге теперь он украсит Зал Исследователей!	
VO_ELISE_STAFF_CLICK_EARLY_64	Мы наконец-то напали на след Посоха Созидания! Он станет центральным экспонатом нашего музея!	
VO_ELISE_WING_1_OPEN_06	Первый фрагмент посоха находится в храме Орсиса. Рено уже проник внутрь, но ему нужна твоя помощь.	
VO_ELISE_WING_3_OPEN_07	Третий фрагмент посоха, Жемчужина Приливов, скрыт в джунглях Тернистой долины. Туда отправился сэр Финли, но мы потеряли с ним связь.	
VO_ELISE_WING_4_OPEN_08	Рафаам украл посох и захватил музей! Он крадет все, без разбора, и оживляет экспонаты!	
VO_ILLIDAN_RETURNING_PLAYER_MISSION_INTRO	Это случилось десять тысяч лет назад... или около того...	
VO_ILLIDAN_RETURNING_PLAYER_QUEST1	Загляни в мои воспоминания о трех битвах — и получи награду.	
VO_INNKEEPER_1ST_HUB_06	В режиме тренировки тебя ждут другие герои!	
VO_INNKEEPER_ARENA_1ST_REWARD	Это было здорово! Можешь посетить Арену снова, если у тебя будет достаточно золота!	
VO_INNKEEPER_ARENA_3RD_LOSS	Это было третье поражение. Используй свой призовой ключ, чтобы получить награду!	
VO_INNKEEPER_BASIC_DONE1_11	Теперь у тебя есть все базовые карты этого класса!	
VO_INNKEEPER_BASIC_DONE2_12	Тебе нужны комплекты карт, чтобы улучшить колоду!	
