TAG	TEXT	COMMENT
FB_BUILDABRAWL001	Выберите первую потасовку!	
FB_BUILDABRAWL002	Выберите вторую потасовку!	
FB_ELO_GREATERSPIRITS	Выберите улучшенный бонус!	
FB_ELO_SPIRITS	Выберите бонус!	
GALAKROND_ONCE	Одно <b>воззвание</b> до улучшения.	
GALAKROND_TWICE	Два <b>воззвания</b> до улучшения.	
GAMEPLAY_AI_OPPONENT_NAME	Хозяин таверны	
GAMEPLAY_AMETHYST_SPELLSTONE_1	<i>(Получайте урон от своих карт для улучшения.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_2	<i>(Получайте урон от своих карт для улучшения.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_3	<i>(Получайте урон от своих карт для улучшения.)</i>	
GAMEPLAY_BACON_ALTERNATE_PLAYER_NAME	{0}	0=character hero name
GAMEPLAY_BACON_BUY_TUTORIAL	Перетащите, чтобы завербовать.	
GAMEPLAY_BACON_COIN_TUTORIAL_1	Вербовка существ <b>ВСЕГДА</b> стоит 3 золотых.	
GAMEPLAY_BACON_COIN_TUTORIAL_2	Все неизрасходованное золото исчезает.	
GAMEPLAY_BACON_COMBAT_BODY_TUTORIAL	Выжившие в бою существа помогают вам нанести дополнительный урон.\n\nЧем выше уровень таверны, тем больше урона вы нанесете!	
GAMEPLAY_BACON_COMBAT_BUTTON_TUTORIAL	ОК!	
GAMEPLAY_BACON_COMBAT_END_TURN_BUTTON_TEXT	Бой	
GAMEPLAY_BACON_COMBAT_PHASE_NAME	Бой	
GAMEPLAY_BACON_COMBAT_TITLE_TUTORIAL	Боевой урон	
GAMEPLAY_BACON_CONFIRM_BUTTON_TUTORIAL	ОК!	
GAMEPLAY_BACON_DRAGBUY_BODY_TUTORIAL	Перетаскивайте существ\nк герою, чтобы вербовать их\n<b>за 3 золотых</b>.\n\nСоберите армию, чтобы победить противников!	
GAMEPLAY_BACON_DRAGBUY_BUTTON_TUTORIAL	Завербовать	
GAMEPLAY_BACON_DRAGBUY_TITLE_TUTORIAL	Вербуйте существ!	
GAMEPLAY_BACON_DRAGBUY_TRIPLE_TUTORIAL	Купите, чтобы получить триплет!	
GAMEPLAY_BACON_DRAGBUY_TUTORIAL	Перетащите к своему герою.	
GAMEPLAY_BACON_DRAGSELL_BODY_TUTORIAL	Перетаскивайте существ к Бобу, чтобы продавать их.\n\nПри этом вы освобождаете место и получаете золотой!	
GAMEPLAY_BACON_DRAGSELL_BUTTON_TUTORIAL	Продать	
GAMEPLAY_BACON_DRAGSELL_TITLE_TUTORIAL	Продавайте существ!	
GAMEPLAY_BACON_DRAGSELL_TUTORIAL	Перетащите существо сюда, чтобы продать его.	
GAMEPLAY_BACON_ENEMY_MINION_TUTORIAL	Выберите существо.	
GAMEPLAY_BACON_FREEZE_TUTORIAL	Замораживайте существ, чтобы снова увидеть их на следующий ход.	
