TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	<b>Evasivo</b>,\n<b>Venenoso</b>, <b>Renacer</b>,\n<b>Escudo divino</b>, <b>Provocación</b>,\n<b>Robavida</b>, <b>Acometida</b>	
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	<b>Evasivo</b>,\n<b>Venenoso</b>, <b>Renacer</b>\nTus otros esbirros\ntienen_+1/+1.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	[x]<b>Evasivo</b>,\n<b>Venenoso</b>, <b>Renacer</b>\nAl final de tu turno, inflige\n_3 de daño a tu héroe.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	[x]<b>Evasivo</b>,\n<b>Venenoso</b>, <b>Renacer</b>\nAl comienzo de tu turno, duplica\nel Ataque de este esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	D<b>Evasivo</b>,\n<b>Venenoso</b>, <b>Renacer</b>\nCuesta (1) menos por cada esbirro aliado.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	<b>Evasivo</b>,\n<b>Venenoso</b>, <b>Renacer</b>\n<b>Grito de batalla:</b> invoca\nuna copia de este.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	[x]<b>Evasivo</b>,\n<b>Venenoso</b>, <b>Renacer</b>\n<b>Estertor:</b> coloca esto\nen tu mazo.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	<b>Escudo divino</b>, <b>Provocación</b>,\n<b>Robavida</b>, <b>Acometida</b>\nTus otros esbirros\ntienen +1/+1.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	[x]<b>Escudo divino</b>, <b>Provocación</b>,\n<b>Robavida</b>, <b>Acometida</b>\nAl final de tu turno, inflige\n_3 de daño a tu héroe.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	[x]<b>Escudo divino</b>, <b>Provocación</b>,\n<b>Robavida</b>, <b>Acometida</b>\nAl comienzo de tu turno, duplica\nel Ataque de este esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	<b>Escudo divino</b>, <b>Provocación</b>,\n<b>Robavida</b>, <b>Acometida</b>\nCuesta (1) menos por cada esbirro aliado.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	<b>Escudo divino</b>, <b>Provocación</b>,\n<b>Robavida</b>, <b>Acometida</b>\n<b>Grito de batalla:</b> invoca\nuna copia de este.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	[x]<b>Escudo divino</b>, <b>Provocación</b>,\n<b>Robavida</b>, <b>Acometida</b>\n<b>Estertor:</b> coloca esto\nen tu mazo.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	[x]Tus otros esbirros\ntienen +1/+1.\nAl final de tu turno, inflige\n_3 de daño a tu héroe.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	[x]Tus otros esbirros\ntienen +1/+1.\nAl comienzo de tu turno, duplica\nel Ataque de este esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	[x]Tus otros esbirros\ntienen +1/+1.\nCuesta (1) menos por\ncada esbirro aliado.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	[x]Tus otros esbirros\ntienen +1/+1.\n<b>Grito de batalla:</b> invoca\nuna copia de este.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	[x]Tus otros esbirros\ntienen +1/+1.\n<b>Estertor:</b> coloca este\nen tu mazo.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	[x]Al final de tu turno, inflige\n3 de daño a tu héroe.\nAl comienzo de tu turno, duplica\nel Ataque de este esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	[x]Al final de tu turno, inflige\n3 de daño a tu héroe.\nCuesta (1) menos por\ncada esbirro aliado.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	Al final de tu turno, inflige\n3 de daño a tu héroe.\n<b>Grito de batalla:</b> invoca\nuna copia de este.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	[x]Al final de tu turno, inflige\n3 de daño a tu héroe.\n<b>Estertor:</b> coloca esto\nen tu mazo.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	[x]Al comienzo de tu turno, duplica\nel Ataque de este esbirro.\nCuesta (1) menos por\ncada esbirro aliado.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	Al comienzo de tu turno, duplica\nel Ataque de este esbirro.\n<b>Grito de batalla:</b> invoca\nuna copia de este.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	[x]Al comienzo de tu turno, duplica\nel Ataque de este esbirro.\n<b>Estertor:</b> coloca esto\nen tu mazo.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	Cuesta (1) menos por cada esbirro aliado.\n<b>Grito de batalla:</b> invoca\nuna copia de este.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	[x]Cuesta (1) menos por\ncada esbirro aliado.\n<b>Estertor:</b> coloca esto\nen tu mazo.	
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	[x]<b>Grito de batalla:</b> invoca\nuna copia de este.\n<b>Estertor:</b> coloca esto\nen tu mazo.	
