TAG	TEXT	COMMENT
LOEA16_2_STAFF_TEXT_CHARGE_0	<b>Poder de héroe pasivo</b>\nTu héroe es <b>Inmune</b>. Quedan tres turnos.	
LOEA16_2_STAFF_TEXT_CHARGE_1	<b>Poder de héroe pasivo</b>\nTu héroe es <b>Inmune</b>. Quedan dos turnos.	
LOEA16_2_STAFF_TEXT_CHARGE_2	<b>Poder de héroe pasivo</b>\nTu héroe es <b>Inmune</b>. ¡Solo queda un turno!	
LOEA16_2_STAFF_TEXT_CHARGE_EXPLODED	<b>Poder de héroe pasivo</b>\nHas invocado un jefe, pero perdiste la <b>Inmunidad</b>.	
MISSION_DEFAULTCOUNTERNAME	|4(Turno, Turnos) para escapar	
MISSION_GLOWING_POOL	Poza brillante	
MISSION_NEFARIAN_TITLE	Asesino de esbirros estúpidos, incompetentes y decepcionantes	
MISSION_PIT_OF_SPIKES	Trampa de púas	
MISSION_PRE_TUTORIAL_WANTED	Se busca	
MISSION_STATUES_EYE	El ojo de la estatua	
MISSION_TAKE_THE_SHORTCUT	¿Quieres tomar el atajo?	
TB_DECKBUILDING_FIRSTCARDPLAYED	Cuando juegas una carta, coloca una copia en tu mazo.	
TB_DECKBUILDING_FIRSTENDTURN	Ahora devuelve tu mano al mazo y vuelve a robar tus cartas.	
TB_DECKBUILDING_FIRSTPICKTHREE	Elige una carta nueva para tu mano.	
TB_DECKBUILDING_STARTOFGAME	Crea tu equipo mientras juegas. ¡Buena suerte!	
TB_DECKBUILDING_STARTOFGAME_START	¡Comienza!	
TB_DECKRECIPE_OG_DRUID	Aprovecha los hechizos de Druida que generan maná para invocar a los sirvientes de los dioses antiguos con mucha anticipación.  	
TB_DECKRECIPE_OG_HUNTER	No temas, héroe; tus esbirros te servirán en la vida y en la muerte. Sacrifícalos para eliminar a los de tu enemigo y tarde o temprano la ventaja será tuya.	
TB_DECKRECIPE_OG_MAGE	Lanza tantos hechizos como puedas. ¡Todos sirven para alimentar el despertar de Yogg-Saron!	
TB_DECKRECIPE_OG_PALADIN	¡Protege a tus esbirros con Escudo divino para que puedan enfrentarse a dos enemigos a la vez!	
TB_DECKRECIPE_OG_PRIEST	¡Sana a tus esbirros y mantenlos con vida lo suficiente para que presencien el surgimiento del horroroso C'Thun!	
TB_DECKRECIPE_OG_ROGUE	¡Intercambia esbirros sin contemplaciones! La mayoría te da una ventaja cuando muere, así que puedes sacrificar sin culpa.	
TB_DECKRECIPE_OG_SHAMAN	¡Invoca la mayor cantidad posible de esbirros antes de evolucionarlos! Evoluciona esbirros que ya hayan visto la acción en el campo de batalla para aprovechar su valor al máximo.	
TB_DECKRECIPE_OG_WARLOCK	Fortalece a tus ejércitos con los incontables esbirros de los dioses antiguos. Inunda el tablero con esbirros más pequeños para arrollar a tu adversario.	
TB_DECKRECIPE_OG_WARRIOR	Defiéndete y demuestra tu devoción infinita por C'Thun. ¡Reúne suficiente Armadura para que los esfuerzos de tu adversario sean inútiles contra los dioses antiguos!	
TB_GIFTEXCHANGE_GIFTSPAWNED	Si no hay ninguna caja de tu lado, se te entregará una.	
TB_GIFTEXCHANGE_GIFTSTOLEN	¡Tienes un regalo! ¿Qué podrá ser?	
TB_GIFTEXCHANGE_START	¡Feliz Festival de Invierno! ¡Esos regalos son para ti!	
TB_PICKYOURFATE_BUILDAROUND_FIRSTFATE	¡Los destinos elegidos afectan a ambos jugadores!	
TB_PICKYOURFATE_BUILDAROUND_NEWFATE	Recuerda, esta bonificación es solo para ti.	
TB_PICKYOURFATE_BUILDAROUND_OPPONENT_FIRSTFATE	¡El destino de tu adversario también te afecta a ti!	
TB_PICKYOURFATE_BUILDAROUND_OPPONENTFATE	Recuerda, esta bonificación es solo para tu adversario.	
TB_PICKYOURFATE_RANDOM_FIRSTFATE	¡Los destinos elegidos afectan a ambos jugadores!	
TB_PICKYOURFATE_RANDOM_NEWFATE	¡Necesitas un nuevo destino!	
TB_PICKYOURFATE_RANDOM_OPPONENTFATE	¡Tu adversario necesita un nuevo destino!	
TB_SHADOWTOWERS_ADJACENTMINIONS	Los esbirros que están junto a una torre quedan en <b>Sigilo</b> y no pueden atacar.	
TB_SHADOWTOWERS_SHADOWSPAWNED	Si uno de los lados no tiene una torre, se invoca una.	
TB_SHADOWTOWERS_SHADOWSPAWNEDNEXT	Las torres faltantes se reemplazan cuando comienza el turno de su dueño.	
