TAG	TEXT	COMMENT
TUTORIAL_ARCANE_INTELLECT_DESCRIPTION	Puedes tener 10 cartas en tu mano.	
TUTORIAL_ARCANE_INTELLECT_HEADLINE	Tamaño de mano	
TUTORIAL_MOBILE_COMPLETE_CONGRATS	¡Has derrotado a Illidan! ¡Crea una cuenta gratuita para desafiar a nuevos adversarios en línea!	
TUTORIAL_MOBILE_CREATE_ACCOUNT	Crear cuenta	
TUTORIAL_NO_ENDTURN	¡Todavía no! Tienes más cartas por jugar.	
TUTORIAL_NO_ENDTURN_ATK	¡Todavía no! Aún puedes atacar.	
TUTORIAL_NO_ENDTURN_HP	¡Todavía no! Usa tu Poder de héroe.	
TUTORIAL_PROGRESS_LESSON_TITLE	Comienza la aventura	
TUTORIAL_PROGRESS_SAVED	Progreso guardado	
TUTORIAL_PROGRESS_TITLE	Progreso de misión	
TUTORIAL_RAID_LEADER_DESCRIPTION	Este esbirro tiene un poder que dura hasta que muere.	
TUTORIAL_RAID_LEADER_HEADLINE	Poderes	
TUTORIAL_TOOLTIP_DECK_DESCRIPTION	En cada turno robas una carta aleatoria de tu mazo.	
TUTORIAL_TOOLTIP_ENEMYDECK_DESC	Tu adversario roba una carta en cada turno.	
TUTORIAL_TOOLTIP_HISTORY_DESC	Este es un registro de eventos del juego.	
TUTORIAL_TOOLTIP_HISTORY_HEADLINE	Historial	
TUTORIAL_WANTED	Se busca	
TUTORIAL01_HELP_01	Si te quedas sin Salud, pierdes.	
TUTORIAL01_HELP_02	Esta carta se jugó en el turno anterior.	
TUTORIAL01_HELP_03	¡Aplasta a este gnoll!	
TUTORIAL01_HELP_04	Los esbirros tienen que esperar un turno para atacar.	
TUTORIAL01_HELP_05	¡Ataca a Hogger!	
TUTORIAL01_HELP_06	¡Ataca a Hogger con todo lo que tengas!	
TUTORIAL01_HELP_07	¡Guárdatelo para el enemigo!	
TUTORIAL01_HELP_08	Olvídate de ese patético gnoll y acaba con Hogger.	
TUTORIAL01_HELP_09	Ganas cuando Hogger no tenga más Salud.	
TUTORIAL01_HELP_10	¡Ataca con tu esbirro!	
TUTORIAL01_HELP_11	Haz clic para atacar.	
TUTORIAL01_HELP_12	Cantidad de daño que infligen.	
TUTORIAL01_HELP_13	Cantidad de daño que pueden recibir.	
TUTORIAL01_HELP_14	¡Derrota a Hogger!	
TUTORIAL01_HELP_15	Juega esbirros y úsalos para atacar a Hogger.\n\n¡Inflige una buena cantidad de daño y ganarás!	
TUTORIAL01_HELP_16	¡Comienza!	
TUTORIAL01_HELP_17	¡Haz clic sobre él!	
TUTORIAL01_HELP_17_TOUCH	¡Toca sobre él!	
TUTORIAL01_HELP_18	¡Cartas gratis!	
TUTORIAL02_HELP_01	Ganas un Cristal de maná en todos los turnos. 	
TUTORIAL02_HELP_02	Todas las cartas tienen un costo de maná.	
TUTORIAL02_HELP_03	Los Cristales de maná que hayas usado se recargarán en cada turno.	
TUTORIAL02_HELP_04	Tienes {0} de maná.	
TUTORIAL02_HELP_06	¡Atrapa a Molino!	
TUTORIAL02_HELP_07	En cada turno, gasta todo tu maná para aplastar a este irritante gnomo.	
TUTORIAL02_STARTING_HAND	Mano inicial	
TUTORIAL03_HELP_01	Este gorila tiene Provocación.	
TUTORIAL03_HELP_02	Larga vida al Rey	
TUTORIAL03_HELP_03	¿No entiendes una carta? ¡Desliza el mouse sobre ella!	
TUTORIAL03_HELP_03_TOUCH	¿No entiendes una carta? ¡Mantenla presionada!	
TUTORIAL04_HELP_01	Puedes usar tu Poder de héroe una vez por turno.	
TUTORIAL04_HELP_02	¡Conviértelo en oveja!	
TUTORIAL04_HELP_03	¡Guarda eso para el Trepador del pantano!	
TUTORIAL04_HELP_14	Bienvenido a la jungla	
TUTORIAL04_HELP_15	¡Mata a sus esbirros o arrasará contigo!	
TUTORIAL04_HELP_16	¡Domina a los esbirros con tu poder de héroe y tus hechizos!	
TUTORIAL05_HELP_01	Las armas pierden Durabilidad cuando atacas.	
TUTORIAL05_HELP_02	El Traidor	
TUTORIAL05_HELP_03	Esta pelea es absolutamente desigual. Échales la culpa a los pésimos diseñadores del juego.	
TUTORIAL05_HELP_04	¡Tus esbirros con Provocación pueden protegerte de los ataques!	
TUTORIAL05_WEAPON_DESC	Permite que tu héroe ataque hasta quedarse sin Durabilidad.	
TUTORIAL05_WEAPON_HEADLINE	Arma	
TUTORIAL06_HELP_01	Eremita Cho	
TUTORIAL06_HELP_02	Cuando los esbirros pelean unos contra otros, *ambos* reciben daño.	
TUTORIAL06_HELP_03	Los esbirros con "Grito de batalla" tienen habilidades especiales cuando los juegas.	
TUTORIAL06_HELP_04	Mata a los esbirros enemigos antes de que se conviertan en un problema.	
TUTR_HELPER_Fight_01_AttackHero	¡Ataca a Rexxar con tu esbirro!	
TUTR_HELPER_Fight_01_AttackHuffer	¡Ataca al esbirro enemigo!	
TUTR_HELPER_Fight_01_HeroPower	¡Usa tu Poder de héroe en ese esbirro!	
TUTR_HELPER_Fight_01_HistoryTiles	Revisa el historial para ver las acciones anteriores.	
TUTR_HELPER_Fight_01_Mana	El maná aumenta cada ronda. Las cartas tienen un costo de maná.	
TUTR_HELPER_Fight_01_Mana_02	Tus Cristales de maná se restablecen cada ronda.	
TUTR_HELPER_Fight_01_MinionsDestroyed	Los esbirros se infligen daño entre sí al atacarse.	
TUTR_HELPER_Fight_01_PlayCard	¡Para jugar con este esbirro, arrástralo al tablero!	
TUTR_HELPER_Fight_01_PlayHuffer	El valor de Ataque a la izquierda es el daño que un esbirro inflige a los enemigos.	
TUTR_HELPER_Fight_01_PlayHuffer_02	El valor de Salud a la derecha es el daño que puede recibir antes de morir.	
TUTR_HELPER_Fight_01_PlayMinion	Puedes pasar por encima de las cartas para leer sus habilidades.	
TUTR_HELPER_Fight_01_PlayMinion_Mobile	Toca y mantén pulsado sobre una carta para leer sus habilidades.	
TUTR_HELPER_Fight_01_PlaySpell	¡Arrastra este hechizo sobre el esbirro enemigo para destruirlo!	
TUTR_HELPER_Fight_01_PlayTaunt	Los esbirros tienen que destruir primero a los enemigos con Provocación.	
TUTR_HELPER_Fight_01_PlayWeapon	Las armas pierden Durabilidad cuando el héroe ataca.	
TUTR_HELPER_Fight_01_SpellIgnoresTaunt	Los hechizos ignoran los efectos de Provocación.	
TUTR_HELPER_Fight_01_WinCondition	Para ganar debes hacer que tu adversario llegue a 0 de Salud.	
