TAG	TEXT	COMMENT
GAMEPLAY_EMOTE_EX1_323h_CONCEDE	Tú ganas... PERO TU MUNDO ESTÁ CONDENADO.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_FULL_MINIONS	¡¡DEMASIADOS ESBIRROS!!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_GENERIC	¡NO PUEDO HACER ESO!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_HAND_FULL	¡¡DEMASIADAS CARTAS!!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_I_ATTACKED	¡YA HE ATACADO!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_JUST_PLAYED	¡ACABA DE LLEGAR!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_MINION_ATTACKED	¡ESA COSA YA HA ATACADO!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_MANA	¡NO HAY MANÁ SUFICIENTE!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_WEAPON	¡¿DÓNDE ESTÁ MI ARMA?!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_PLAY	¡NO PUEDO JUGAR ESO!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_STEALTH	¡ESTÁ EN SIGILO!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TARGET	¡NO ES VÁLIDO!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TAUNT	¡EL ESBIRRO CON PROVOCAR SE INTERPONE!	
GAMEPLAY_EMOTE_EX1_323h_FIRE_FESTIVAL	¡ENCENDED LAS HOGUERAS!	
GAMEPLAY_EMOTE_EX1_323h_GOOD_GAME	¡BUENA PARTIDA!	
GAMEPLAY_EMOTE_EX1_323h_GREETINGS	Soy Jaraxxus, señor eredar de la Legión Ardiente.	
GAMEPLAY_EMOTE_EX1_323h_HALLOWS_END	HALLOWEEN… TIEMBLA.	
GAMEPLAY_EMOTE_EX1_323h_LOW_CARDS	¡Mi mazo! ¡SE QUEDA SIN CARTAS!	
GAMEPLAY_EMOTE_EX1_323h_LUNAR_NEW_YEAR	¡Feliz Año Nuevo!	
GAMEPLAY_EMOTE_EX1_323h_NO_CARDS	¡NOOO! ¡NO ME QUEDAN CARTAS!	
GAMEPLAY_EMOTE_EX1_323h_NOBLEGARDEN	¡Feliz Jardín Noble!	
GAMEPLAY_EMOTE_EX1_323h_OOPS	¡ERROR!	
GAMEPLAY_EMOTE_EX1_323h_PIRATE_DAY	¡SOY JARRRRRRRAXXUS!	
GAMEPLAY_EMOTE_EX1_323h_SORRY	Jaraxxus... lo siente.	
GAMEPLAY_EMOTE_EX1_323h_THANKS	GRACIAS.	
GAMEPLAY_EMOTE_EX1_323h_THINK1	Mmm...	
GAMEPLAY_EMOTE_EX1_323h_THINK2	Me pregunto...	
GAMEPLAY_EMOTE_EX1_323h_THINK3	¿Cómo te destruiré...?	
GAMEPLAY_EMOTE_EX1_323h_THREATEN	¡AL OLVIDO!	
