TAG	TEXT	COMMENT
TUTORIAL_ARCANE_INTELLECT_DESCRIPTION	Puedes tener 10 cartas en tu mano.	
TUTORIAL_ARCANE_INTELLECT_HEADLINE	Tamaño de la mano	
TUTORIAL_MOBILE_COMPLETE_CONGRATS	¡Has derrotado a Illidan! ¡Crea una cuenta gratuita para desafiar a nuevos oponentes online!	
TUTORIAL_MOBILE_CREATE_ACCOUNT	Crear cuenta	
TUTORIAL_NO_ENDTURN	¡Todavía no! ¡Te quedan cartas por jugar!	
TUTORIAL_NO_ENDTURN_ATK	¡Todavía no! Aún puedes atacar.	
TUTORIAL_NO_ENDTURN_HP	¡Todavía no! Utiliza tu poder de héroe.	
TUTORIAL_PROGRESS_LESSON_TITLE	Comienza la aventura	
TUTORIAL_PROGRESS_SAVED	Progreso guardado	
TUTORIAL_PROGRESS_TITLE	Progreso de misiones	
TUTORIAL_RAID_LEADER_DESCRIPTION	Este esbirro tiene un poder que dura hasta que muera.	
TUTORIAL_RAID_LEADER_HEADLINE	Poderes	
TUTORIAL_TOOLTIP_DECK_DESCRIPTION	Robas una carta aleatoria de tu mazo cada turno.	
TUTORIAL_TOOLTIP_ENEMYDECK_DESC	Tu oponente roba una carta cada turno.	
TUTORIAL_TOOLTIP_HISTORY_DESC	Esto es un registro de lo acontecido en la partida.	
TUTORIAL_TOOLTIP_HISTORY_HEADLINE	Historial	
TUTORIAL_WANTED	Se busca	
TUTORIAL01_HELP_01	Si te quedas sin salud, pierdes.	
TUTORIAL01_HELP_02	Esta carta se ha jugado en el turno anterior.	
TUTORIAL01_HELP_03	¡Aplasta a este gnoll!	
TUTORIAL01_HELP_04	Los esbirros deben esperar un turno para atacar.	
TUTORIAL01_HELP_05	¡Ataca a Hogger!	
TUTORIAL01_HELP_06	¡Machaca a Hogger con todo lo que tengas!	
TUTORIAL01_HELP_07	¡Guarda eso para el enemigo!	
TUTORIAL01_HELP_08	No hagas caso al gnoll debilucho; acaba con Hogger.	
TUTORIAL01_HELP_09	Cuando Hogger no tenga salud, ganarás.	
TUTORIAL01_HELP_10	¡Ataca con tu esbirro!	
TUTORIAL01_HELP_11	Haz clic para atacar.	
TUTORIAL01_HELP_12	Cantidad de daño que inflige.	
TUTORIAL01_HELP_13	Cantidad de daño que puede recibir.	
TUTORIAL01_HELP_14	¡Derrota a Hogger!	
TUTORIAL01_HELP_15	Usa esbirros para atacar a Hogger.\n\n¡Inflige el daño suficiente y ganarás!	
TUTORIAL01_HELP_16	¡Vamos!	
TUTORIAL01_HELP_17	¡Haz clic en él!	
TUTORIAL01_HELP_17_TOUCH	¡Pulsa sobre él!	
TUTORIAL01_HELP_18	¡Cartas gratis!	
TUTORIAL02_HELP_01	Obtienes un cristal de maná cada turno.	
TUTORIAL02_HELP_02	Jugar cartas cuesta maná.	
TUTORIAL02_HELP_03	Tus cristales de maná usados se restauran cada turno.	
TUTORIAL02_HELP_04	Cristales de maná: {0}.	
TUTORIAL02_HELP_06	¡Ve a por Molino!	
TUTORIAL02_HELP_07	¡Gasta tu maná en cada turno para machacar a ese gnomo sabelotodo!	
TUTORIAL02_STARTING_HAND	Mano inicial	
TUTORIAL03_HELP_01	Este gorila tiene Provocar.	
TUTORIAL03_HELP_02	Larga vida al rey	
TUTORIAL03_HELP_03	¿Hay alguna carta que no entiendes? ¡Pasa el cursor por encima!	
TUTORIAL03_HELP_03_TOUCH	¿Hay alguna carta que no entiendes? ¡Mantén el dedo sobre ella!	
TUTORIAL04_HELP_01	Puedes utilizar tu poder de héroe una vez cada turno.	
TUTORIAL04_HELP_02	¡Conviértelo en oveja!	
TUTORIAL04_HELP_03	¡Guarda eso para el trepador del pantano!	
TUTORIAL04_HELP_14	Bienvenidos a la selva	
TUTORIAL04_HELP_15	¡Mata a sus esbirros o te superarán!	
TUTORIAL04_HELP_16	¡Somete a los esbirros con tu poder de héroe y tus hechizos!	
TUTORIAL05_HELP_01	Las armas pierden durabilidad cuando atacas.	
TUTORIAL05_HELP_02	El Traidor	
TUTORIAL05_HELP_03	Este combate es totalmente injusto. Es culpa de los malvados desarrolladores.	
TUTORIAL05_HELP_04	¡Tus esbirros con Provocar pueden protegerte de los ataques!	
TUTORIAL05_WEAPON_DESC	Permite a tu héroe atacar hasta que el arma se quede sin durabilidad.	
TUTORIAL05_WEAPON_HEADLINE	Arma	
TUTORIAL06_HELP_01	Eremita Cho	
TUTORIAL06_HELP_02	Cuando dos esbirros se enfrentan en combate, los dos reciben daño.	
TUTORIAL06_HELP_03	Los esbirros con "Grito de batalla" hacen algo especial cuando los juegas.	
TUTORIAL06_HELP_04	¡Mata a los esbirros enemigos antes de que se conviertan en un problema!	
TUTR_HELPER_Fight_01_AttackHero	¡Ataca a Rexxar con tu esbirro!	
