TAG	TEXT	COMMENT
ChromaggusBoss_Death_1	Groaaarr!	
ChromaggusBoss_EmoteResponse_1	*Knurr*	
ChromaggusBoss_Start_1	Groar!	
GiantRat_LOOTA_BOSS_18h_DefeatPlayer	<Fieps>	
GiantRat_LOOTA_BOSS_18h_EmoteResponse	<Fieps>	
GILA_BOSS_65h_Gobbles_DefeatPlayer	*kreisch*	
GILA_BOSS_65h_Gobbles_EmoteResponse	Buauorr!	
GILA_BOSS_65h_Gobbles_Intro	Uäääuuu!	
LOE_07_MINE_CART_EMOTES	KLONK	
LOOTA_BOSS_21h_GnoshTheGreatWorm_EmoteResponse	<Brüllen>	
LOOTA_BOSS_47h_Lava_FilledRoom_Emote	<Wut>	
LOOTA_BOSS_52h_TreasureVault_Emote	<Ka-tsching!>	
OnyxiaBoss_Death_1	Groaaaarr!	
OnyxiaBoss_EmoteResponse_1	*Knurr*	
OnyxiaBoss_Start_1	Groar!	
POPUP_FROST_BRAWL	Erschöpfung! Wer am Ende des nächsten Zugs mehr Leben hat, gewinnt das Spiel.	
POPUP_FROST_BRAWL_ARMOR	In diesem Kartenchaos könnt Ihr Euch nicht mehr hinter Rüstung verstecken!	
TheMothergloop_LOOTA_BOSS_24h_EmoteResponse	<Rülps>	
TrappedRoom_LOOTA_BOSS_48h_EmoteResponse	<Quietsch>	
VO_Ahune_Male_Elemental_Brawl_01	JA! ZERSCHMETTERT RAGNAROS!	
VO_Ahune_Male_Elemental_Brawl_02	WER HAT JETZT DIE OBERHAND, ARMLEUCHTER?!	
VO_Ahune_Male_Elemental_Brawl_03	DIES IST MEINE RACHE!	
VO_Ahune_Male_Elemental_Brawl_04	NA, WER IST JETZT DER MEISTGETÖTETE BOSS, HMM, RAGNAROS?	
VO_Ahune_Male_Elemental_Brawl_05	WER IST JETZT DAS INSEKT, HMM?!	
VO_Ahune_Male_Elemental_Brawl_07	DER EISBROCKEN IST GESCHMOLZEN!	
VO_Ahune_Male_Elemental_Brawl_08	WER ZERSCHMETTERT MEHR DUMMKÖPFE!?	
