TAG	TEXT	COMMENT
TUTORIAL_ARCANE_INTELLECT_DESCRIPTION	你最多可以持有10张手牌。	
TUTORIAL_ARCANE_INTELLECT_HEADLINE	手牌	
TUTORIAL_MOBILE_COMPLETE_CONGRATS	你已经击败了伊利丹！免费创建账号，在线挑战其他玩家吧！	
TUTORIAL_MOBILE_CREATE_ACCOUNT	创建账号	
TUTORIAL_NO_ENDTURN	还没有结束！你还可以使用更多手牌！	
TUTORIAL_NO_ENDTURN_ATK	还没有结束！你还可以进行攻击。	
TUTORIAL_NO_ENDTURN_HP	还没有结束！你还可以使用英雄技能。	
TUTORIAL_PROGRESS_LESSON_TITLE	游戏旅程开始	
TUTORIAL_PROGRESS_SAVED	任务进度已保存	
TUTORIAL_PROGRESS_TITLE	任务进程	
TUTORIAL_RAID_LEADER_DESCRIPTION	该随从拥有一个技能，其效果会持续直到他死亡。	
TUTORIAL_RAID_LEADER_HEADLINE	技能	
TUTORIAL_TOOLTIP_DECK_DESCRIPTION	你每个回合从牌库中随机抽一张牌。	
TUTORIAL_TOOLTIP_ENEMYDECK_DESC	你的对手每个回合抽一张牌。	
TUTORIAL_TOOLTIP_HISTORY_DESC	这里是游戏记录。	
TUTORIAL_TOOLTIP_HISTORY_HEADLINE	战斗记录	
TUTORIAL01_HELP_01	如果你失去所有生命值，你就输掉了游戏。	
TUTORIAL01_HELP_02	这是上一回合使用的牌。	
TUTORIAL01_HELP_03	消灭这只豺狼人！	
TUTORIAL01_HELP_04	大部分随从必须等待一个回合才能攻击。	
TUTORIAL01_HELP_05	攻击霍格！	
TUTORIAL01_HELP_06	用尽你的一切力量攻击霍格！	
TUTORIAL01_HELP_07	保留这张卡牌用以对付敌人！	
TUTORIAL01_HELP_08	无视弱小的豺狼人，全力解决霍格。	
TUTORIAL01_HELP_09	当霍格失去所有生命值，你就取得了游戏的胜利。	
TUTORIAL01_HELP_10	用你的随从进行攻击！	
TUTORIAL01_HELP_11	点击进攻。	
TUTORIAL01_HELP_12	这表明该随从可以造成多少点伤害。	
TUTORIAL01_HELP_13	能够承受的伤害量。	
TUTORIAL01_HELP_14	击败霍格！	
TUTORIAL01_HELP_15	使用随从攻击霍格。\n\n造成足够多的伤害，你就能赢得游戏的胜利！	
TUTORIAL01_HELP_16	开始	
TUTORIAL01_HELP_17	点击他！	
TUTORIAL01_HELP_17_TOUCH	点击他！	
TUTORIAL01_HELP_18	免费的卡牌！	
TUTORIAL02_HELP_01	你每个回合获得一个法力水晶。	
TUTORIAL02_HELP_02	使用卡牌需要消耗法力值。	
TUTORIAL02_HELP_03	每个回合你所使用过的法力水晶会被注满法力。	
TUTORIAL02_HELP_04	你有{0}点法力值。	
TUTORIAL02_HELP_06	击败米尔豪斯！	
TUTORIAL02_HELP_07	在每个回合，消耗法力值使用卡牌，击败那个讨厌的侏儒。	
TUTORIAL02_STARTING_HAND	起始手牌	
TUTORIAL03_HELP_01	这只猩猩具有嘲讽技能。	
TUTORIAL03_HELP_02	大王万岁	
TUTORIAL03_HELP_03	想了解卡牌的作用？将鼠标移到卡牌上！	
TUTORIAL03_HELP_03_TOUCH	不太明白某张卡牌的作用？点击并按住它进行查看！	
TUTORIAL04_HELP_01	每个回合你可以使用一次英雄技能。	
TUTORIAL04_HELP_02	把它变成绵羊！	
TUTORIAL04_HELP_03	把它留给沼泽爬行者！	
TUTORIAL04_HELP_14	欢迎来到丛林	
TUTORIAL04_HELP_15	杀死他的随从，否则他就会击败你！	
TUTORIAL04_HELP_16	使用你的英雄技能和法术制服那些随从！	
TUTORIAL05_HELP_01	在你使用武器攻击的时候，它会损失耐久度。	
TUTORIAL05_HELP_02	背叛者	
TUTORIAL05_HELP_03	这场战斗真不公平。这要怪糟糕的游戏设计师。	
TUTORIAL05_HELP_04	具有嘲讽的随从们能够保护你不受攻击！	
TUTORIAL05_WEAPON_DESC	让你的英雄进攻，直到武器失去所有耐久度。	
TUTORIAL05_WEAPON_HEADLINE	武器	
TUTORIAL06_HELP_01	游学者周卓	
TUTORIAL06_HELP_02	当随从之间相互攻击时，他们*都*会受到伤害。	
TUTORIAL06_HELP_03	具有“战吼”的随从会在你使用它们时造成特殊的效果。	
TUTORIAL06_HELP_04	在敌方随从造成威胁之前，消灭他们！	
