TAG	TEXT	COMMENT
CarouselGryphon_DALA_Boss_34h_Death	<Odgłosy smutnego końca>	
CarouselGryphon_DALA_Boss_34h_Emote_01	<Muzyka z karuzeli>	
CarouselGryphon_DALA_Boss_34h_Emote_02	<Muzyka z karuzeli>	
CarouselGryphon_DALA_Boss_34h_Emote_03	<Muzyka z karuzeli>	
CarouselGryphon_DALA_Boss_34h_Start	<Skrzypu skrzypu>	
CarouselGryphon_DALA_Boss_34h_Taunt	<Skrzypu skrzypu>	
ChromaggusBoss_Death_1	Wrrrrrrrrrr!	
ChromaggusBoss_EmoteResponse_1	*Warkot*	
ChromaggusBoss_Start_1	Wrrr!	
GiantRat_LOOTA_BOSS_18h_DefeatPlayer	<Dziwne dźwięki>	
GiantRat_LOOTA_BOSS_18h_EmoteResponse	<Dziwne dźwięki>	
GILA_BOSS_65h_Gobbles_DefeatPlayer	Reeeaaaooo!	
GILA_BOSS_65h_Gobbles_EmoteResponse	Bahauaoowr!	
GILA_BOSS_65h_Gobbles_Intro	Uwaauuoooo!	
LOE_07_MINE_CART_EMOTES	*STUK*	
LOOTA_BOSS_21h_GnoshTheGreatWorm_EmoteResponse	<Ryk>	
LOOTA_BOSS_47h_Lava_FilledRoom_Emote	<Wulkaniczna\nfuria>	
LOOTA_BOSS_52h_TreasureVault_Emote	<Brzdęk>	
OnyxiaBoss_Death_1	Wrrrrrrrrrr!	
OnyxiaBoss_EmoteResponse_1	*Warkot*	
OnyxiaBoss_Start_1	Wrrr!	
POPUP_FROST_BRAWL	Zmęczenie! Ktokolwiek ma więcej zdrowia na koniec następnej tury, wygrywa grę.	
POPUP_FROST_BRAWL_ARMOR	W tej bójce nie można kryć się za pancerzem!	
TB_HM_VO_DALA_Chu_Male_Pandaren_Concede_01	Szef nie będzie zadowolny.	
TB_HM_VO_DALA_Chu_Male_Pandaren_Greetings_01	Nie bierz tego do siebie. To zwykły konflikt interesów.	
TB_HM_VO_DALA_Chu_Male_Pandaren_Oops_01	Hm… Błąd?	
TB_HM_VO_DALA_Chu_Male_Pandaren_Start_03	Stoisz mi na drodze.	
TB_HM_VO_DALA_Chu_Male_Pandaren_Thanks_01	Dzięki.	
TB_HM_VO_DALA_Chu_Male_Pandaren_Threaten_02	Wiadomo, jak to się skończy.	
TB_HM_VO_DALA_Chu_Male_Pandaren_Well_Played_02	Godny z ciebie przeciwnik.	
TB_HM_VO_DALA_Chu_Male_Pandaren_WOW_01	Zadziwiasz mnie.	
TB_HM_VO_DALA_George_Male_Human_Concede_01	Twoi kompani mnie pokonali.	
TB_HM_VO_DALA_George_Male_Human_Greetings_01	Hm. Witaj.	
TB_HM_VO_DALA_George_Male_Human_Oops_01	Ojć!	
TB_HM_VO_DALA_George_Male_Human_Start_01	Przybyłem tu, by się zemścić!	
TB_HM_VO_DALA_George_Male_Human_Thanks_01	Uch. Dziękuję.	
TB_HM_VO_DALA_George_Male_Human_Threaten_01	Rychu zasługuje na pomstę!	
TB_HM_VO_DALA_George_Male_Human_Well_Played_01	Przyzwoite zagranie.	
TB_HM_VO_DALA_George_Male_Human_WOW_01	Na Światłość, to niesamowite!	
TheMothergloop_LOOTA_BOSS_24h_EmoteResponse	<Nieprzyzwoite\nodgłosy>	
TrappedRoom_LOOTA_BOSS_48h_EmoteResponse	<Skrzypnięcie>	
VO_Ahune_Male_Elemental_Brawl_01	TAK! ROZBIĆ RAGNAROSA W PYŁ!	
VO_Ahune_Male_Elemental_Brawl_02	NO I KTO TU TERAZ RZĄDZI, OGNISTY PAJACU?!	
VO_Ahune_Male_Elemental_Brawl_03	TO DOPIERO ZEMSTA!	
VO_Ahune_Male_Elemental_Brawl_04	NO I ZA KIM TERAZ GANIAJĄ TŁUMY AWANTURNIKÓW, CO?!	
VO_Ahune_Male_Elemental_Brawl_05	NO I KTO JEST TERAZ ROBAKIEM, PAJACU?!	
VO_Ahune_Male_Elemental_Brawl_07	LODOWIEC SIĘ ROZTOPIŁ!	
VO_Ahune_Male_Elemental_Brawl_08	NO TO KTO SIĘ ZAJMIE TĄ BANDĄ DURNIÓW?	
VO_Ahune_Male_Elemental_Brawl_11	FANTASTYCZNY WYNIK!	
VO_Ahune_Male_Elemental_Brawl_15	RAGNAROS MUSI ZGINĄĆ BARDZIEJ!	
VO_Ahune_Male_Elemental_Brawl_16	OOO! NAPRAWDĘ NIE CIERPISZ RAGNAROSA!	
VO_Ahune_Male_Elemental_Brawl_18	STÓJ, DURNIU!	
VO_Ahune_Male_Elemental_Brawl_20	NIEZŁE ZAGRANIE, DRUHU! PRAWIE SIĘ UDAŁO.	
VO_Ahune_Male_Elemental_Brawl_25	UDAŁO NAM SIĘ! DOBRA ROBOTA, SERDECZNY DRUHU!	
VO_AHUNE_Male_Elemental_HSFireFestival_02	TAK! RAGNAROS I JA ZMIAŻDŻYMY CIĘ NA PROCH! RAZEM!	
VO_AHUNE_Male_Elemental_HSFireFestival_04	ŚWIETNIE SIĘ BAWIĘ NA TWOIM FESTIWALU, PRZYJACIELU!	
VO_AHUNE_Male_Elemental_HSFireFestival_05	HUE HUE, NIEZŁY ŻART PRZYJACIELU!	
VO_Aran_Male_Shade_AranCrackle_01	Phi. Za moich czasów Trzask zawsze zadawał sześć punktów obrażeń.	
VO_Aran_Male_Shade_AranDeath_02	Tylko nie znowu...	
VO_Aran_Male_Shade_AranEmoteResponse_01	Poszli stąd!	
VO_Aran_Male_Shade_AranHeroPower_01	Płońcie, łobuzy!	
VO_Aran_Male_Shade_AranMedivhSkin_01	Medivh? Nie, nie zaczepiałem gości...	
VO_Aran_Male_Shade_AranOpen_01	Już ja was nauczę szacunku!	
VO_Aran_Male_Shade_AranSpell_03	Wracajcie w ciemność, gdzie wasze miejsce!	
VO_Aran_Male_Shade_AranSpell_04	Nasz pan jest potężny, a ja także dysponuję mocą!	
VO_Aran_Male_Shade_AranTrons_02	NIE! NIE! Co za hałas! Co za straszliwe powitania!	
VO_Aran_Male_Shade_AranTurn1_01	Żadnej głośnej muzyki w mojej wieży!	
VO_Aran_Male_Shade_AranTurn5_01	Nie jestem jakimś tam błaznem! Jestem Nielas Aran!	
VO_Barnes_Male_Human_FinalNazraTurn5_02	Pomocy! Banany nam się skończyły! Mukla rozniesie spiżarnię na strzępy!	
VO_Barnes_Male_Human_JulianneTurn5_01	Czym jest teatr bez przedstawienia? Czymże przedstawienie bez widowni?	
VO_Barnes_Male_Human_JulianneWin_01	Pierwszy akt zakończony! Zostały jeszcze dwa!	
VO_Barnes_Male_Human_Wing2Intro_02	Witam na naszej scenie! Nazywam się Barnes, inspicjent. Portale do Medivha są piętro wyżej, ale najpierw obejrzyj nasze przedstawienie!	
VO_Barnes_Male_Human_WolfBigMinion_01	Och, babciu. Jakich masz wielkich stronników!	
VO_Barnes_Male_Human_WolfClaws_01	Bez obaw, te ogromne szpony to tylko rekwizyty!	
VO_Barnes_Male_Human_WolfTurn5_01	Uwielbiam udział widowni! Pędź, miły gościu, pędź!	
VO_Barnes_Male_Human_WolfTurn9_01	Ha ha! Wspaniały występ! Wyszło lepiej niż z tym ogrem, którego ganialiśmy w ubiegłym tygodniu.	
VO_Barnes_Male_Human_WolfWin_01	Nareszcie! Wielki finał!	
VO_BigBadWolf_Male_Worgen_WolfBigMinion_01	Aby cię łatwiej zmiażdżyć!	
VO_BigBadWolf_Male_Worgen_WolfDeath_01	Dopadli mnie! Wrrrr!	
