TAG	TEXT	COMMENT
ChromaggusBoss_Death_1	크어어어어어엉!	
ChromaggusBoss_EmoteResponse_1	*으르렁*	
ChromaggusBoss_Start_1	크어엉!	
GiantRat_LOOTA_BOSS_18h_DefeatPlayer	<끼익!>	
GiantRat_LOOTA_BOSS_18h_EmoteResponse	<끼익!>	
GILA_BOSS_65h_Gobbles_DefeatPlayer	이이아아우우!	
GILA_BOSS_65h_Gobbles_EmoteResponse	아하우아하!	
GILA_BOSS_65h_Gobbles_Intro	우아우우우!	
LOE_07_MINE_CART_EMOTES	쿵	
LOOTA_BOSS_21h_GnoshTheGreatWorm_EmoteResponse	<포효>	
LOOTA_BOSS_47h_Lava_FilledRoom_Emote	<격노>	
LOOTA_BOSS_52h_TreasureVault_Emote	<띠링>	
OnyxiaBoss_Death_1	크어어어엉!	
OnyxiaBoss_EmoteResponse_1	*으르렁*	
OnyxiaBoss_Start_1	크르릉!	
POPUP_FROST_BRAWL	탈진 상태입니다! 다음 턴이 종료될 때 생명력이 더 높은 플레이어가 승리합니다.	
POPUP_FROST_BRAWL_ARMOR	이 난투에서는 방어도 뒤에 숨을 수 없습니다!	
TheMothergloop_LOOTA_BOSS_24h_EmoteResponse	<꺼억>	
TrappedRoom_LOOTA_BOSS_48h_EmoteResponse	<철컥>	
VO_Ahune_Male_Elemental_Brawl_01	그래! 라그나로스를 박살내라!	
VO_Ahune_Male_Elemental_Brawl_02	이제 누가 힘을 가진 자인가, 어리석은 불의 군주여!	
VO_Ahune_Male_Elemental_Brawl_03	마침내, 복수다!	
VO_Ahune_Male_Elemental_Brawl_04	이제 너는 '아제로스에서 모험가들이 제일 많이 처치한 우두머리'로 남을 것이다!	
VO_Ahune_Male_Elemental_Brawl_05	이제 누가 벌레일까?	
VO_Ahune_Male_Elemental_Brawl_07	얼음 기둥이 녹아내렸다!	
VO_Ahune_Male_Elemental_Brawl_08	누가 저 멍청한 것들을 가장 많이 처치할 것인가!?	
VO_Ahune_Male_Elemental_Brawl_11	대단하도다!	
VO_Ahune_Male_Elemental_Brawl_15	라그나로스를 더 철저히 박살내거라!	
VO_Ahune_Male_Elemental_Brawl_16	오오! 넌 정말로 라그나로스를 싫어하나보구나!	
VO_Ahune_Male_Elemental_Brawl_18	얼어라, 멍청한 놈!	
VO_Ahune_Male_Elemental_Brawl_20	잘했다, 친구여! 아주 아까웠다.	
VO_Ahune_Male_Elemental_Brawl_25	우리가 해냈다! 훌륭하다, 내 친구여!	
VO_AHUNE_Male_Elemental_HSFireFestival_02	그래! 나와 라그나로스가 널 박살내리라!	
VO_AHUNE_Male_Elemental_HSFireFestival_04	네 축제는 정말 재밌구나, 친구여!	
VO_AHUNE_Male_Elemental_HSFireFestival_05	훌륭한 농담이었다, 친구여!	
VO_Aran_Male_Shade_AranCrackle_01	흥. 내가 한창이었을 때엔 파지직은 언제나 6의 피해를 줬지.	
VO_Aran_Male_Shade_AranDeath_02	마침내 악몽이 끝났다...	
VO_Aran_Male_Shade_AranEmoteResponse_01	너는 누구냐? 원하는 게 뭐야?	
VO_Aran_Male_Shade_AranHeroPower_01	불타라, 지옥의 악마들아!	
VO_Aran_Male_Shade_AranMedivhSkin_01	메디브? 어... 아니, 손님들을 귀찮게 하진 않았다.	
VO_Aran_Male_Shade_AranOpen_01	너에게 보여주마! 아무리 지친 개라도 송곳니는 있는 법!	
VO_Aran_Male_Shade_AranSpell_03	차가운 암흑으로 돌아가라!	
VO_Aran_Male_Shade_AranSpell_04	그래, 메디브는 아주 강하지... 하지만, 내게도 힘은 있다!	
VO_Aran_Male_Shade_AranTrons_02	안 돼! 그 끔찍한 소음만은! 	
VO_Aran_Male_Shade_AranTurn1_01	내 탑에선 정숙해라!	
VO_Aran_Male_Shade_AranTurn5_01	난 어릿광대 따위가 아니다! 나는 니엘라스 아란이다!	
VO_Barnes_Male_Human_FinalNazraTurn5_02	도와주십시오! 바나나가 다 떨어졌습니다! 굶주린 무클라가 난동을 피우고 있습니다!	
VO_Barnes_Male_Human_JulianneTurn5_01	파티에 연극이 없으면 무슨 소용인가? 그리고, 연극에는 마땅히 관객이 있어야하지 않겠는가!	
VO_Barnes_Male_Human_JulianneWin_01	1막이 끝났습니다! 이제 두 개가 남았습니다!	
VO_Barnes_Male_Human_Wing2Intro_02	오페라 극장에 오신 걸 환영합니다! 저는 무대 감독인 반즈입니다. 메디브 님께 향하는 차원문은 위층에 있지만, 우선 우리 공연부터 한번 보시죠!	
VO_Barnes_Male_Human_WolfBigMinion_01	우와, 할머니의 하수인들은 정말 거대하군요!	
VO_Barnes_Male_Human_WolfClaws_01	걱정마십시오! 저 커다란 발톱은 그냥 소품일 뿐입니다!	
VO_Barnes_Male_Human_WolfTurn5_01	아, 관객이 연극에 참여했을 때의 이 생동감이란! 어서 도망치세요, 관객님!	
VO_Barnes_Male_Human_WolfTurn9_01	정말 장엄한 광경이군요! 저번 주의 그 오우거보다 훨씬 연기력이 좋으십니다!	
VO_Barnes_Male_Human_WolfWin_01	드디어, 연극의 대단원이 임박했습니다!	
VO_BigBadWolf_Male_Worgen_WolfBigMinion_01	널 박살내기 좋으라고 그런거지!	
VO_BigBadWolf_Male_Worgen_WolfDeath_01	사냥... 당했다고...?	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_01	*으르렁*	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_02	*끼잉*	
VO_BigBadWolf_Male_Worgen_WolfEmoteResponse_01	음... 맛있겠구나.	
VO_BigBadWolf_Male_Worgen_WolfOpen_01	도망쳐라, 꼬마야, 달아나라...	
VO_BigBadWolf_Male_Worgen_WolfScarletCrusader_01	빨간 모자야, 이리로 오려무나.	
VO_BigBadWolf_Male_Worgen_WolfTurn1_01	나를 보며 한없이 작아지는 네 하수인들을 봐라!	
VO_BlackKing_Male_ChessPiece_ChessEmoteGreetings_01	언제든지.	
VO_BlackKing_Male_ChessPiece_ChessEmoteOops_01	혹은, 함정일 수도?	
VO_BlackKing_Male_ChessPiece_ChessEmoteSorry_01	필요한 희생이었다.	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks	별말씀을.	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks_01	별말씀을.	
VO_BlackKing_Male_ChessPiece_ChessEmoteThreaten_01	그럼 더 일찍 끝내드리지.	
VO_BlackKing_Male_ChessPiece_ChessEmoteWellPlayed_01	너무 앞서가는군.	
VO_BlackKing_Male_ChessPiece_ChessEmoteWow_01	고맙군.	
VO_BlackKing_Male_ChessPiece_ChessOpen_01	누구도 지나갈 수 없다!	
VO_BOSS_AYA_Female_Pandaren_BC_0_Jade_Golem_02	골렘은 많을수록 좋지!	
VO_BOSS_AYA_Female_Pandaren_BC_0_Jade_Golem_03	히히히히! 가라, 내 골렘들아!	
VO_BOSS_AYA_Female_Pandaren_BC_0_Jade_Golem_04	또! 또 소환해봐!	
VO_BOSS_AYA_Female_Pandaren_BC_2_1st_Turn_Start_01	하, 뭐래니? 가젯잔은 내 거거든?	
VO_BOSS_AYA_Female_Pandaren_BC_2_2nd_Turn_Start_01	가젯잔은 비취 연꽃의 영토야. 그리고 비취 연꽃은 내 거라고!	
VO_BOSS_AYA_Female_Pandaren_BC_2_Arms_Dealing1_01	또 무기야? 아, 식상하긴.	
VO_BOSS_AYA_Female_Pandaren_BC_2_Fill1_01	후흣, 슬슬 재밌어지겠는데?	
